%: table_doi: 10.17182/hepdata.59933.v1/t1
%: name: Table 1
%: description: pT-differential production yields of K*0 mesons in INEL pp collisions at sqrts 7 TeV in |y| < 0.5.
%: data_file: Table1.yaml
%: keyword reactions: P P --> K*0 X | P P --> K*BAR0 X
%: keyword observables: DN/DYRAP/DPT
%: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Strange production
%: keyword cmenergies: 7000.0
%: RE      P P --> (K*0 + K*BAR0)/2 X
%: ABS(YRAP)      < 0.5
%: SQRT(S) [GeV]      7000.0
%'$p_{T}$ [GeV/$c$]'  '$p_{T}$ [GeV/$c$] LOW'  '$p_{T}$ [GeV/$c$] HIGH'  '$\frac{1}{N_{INEL}}\frac{d^{2}N}{2\pi p_{T} dy dp_{T}} (GeV/c)^{-2}$'  'stat +'  'stat -'  'sys (total) +'  'sys (total) -'
0.05  0  0.1  0.01212  0.00054  -0.00054  0.00216  -0.00216
0.15  0.1  0.2  0.03836  0.00095  -0.00095  0.00662  -0.00662
0.25  0.2  0.3  0.06182  0.00129  -0.00129  0.00882  -0.00882
0.35  0.3  0.4  0.07116  0.00155  -0.00155  0.00768  -0.00768
0.45  0.4  0.5  0.07671  0.00152  -0.00152  0.00727  -0.00727
0.55  0.5  0.6  0.07628  0.00143  -0.00143  0.00808  -0.00808
0.65  0.6  0.7  0.07245  0.0013  -0.0013  0.00738  -0.00738
0.75  0.7  0.8  0.06853  0.00115  -0.00115  0.00612  -0.00612
0.85  0.8  0.9  0.0617  0.00098  -0.00098  0.00552  -0.00552
0.95  0.9  1.0  0.05591  0.00083  -0.00083  0.00502  -0.00502
1.1  1.0  1.2  0.0473  0.00047  -0.00047  0.00423  -0.00423
1.3  1.2  1.4  0.03523  0.00038  -0.00038  0.00319  -0.00319
1.5  1.4  1.6  0.02613  0.00028  -0.00028  0.00249  -0.00249
1.7  1.6  1.8  0.01957  0.00023  -0.00023  0.00184  -0.00184
1.9  1.8  2.0  0.01368  0.00019  -0.00019  0.00129  -0.00129
2.2  2.0  2.4  0.009168  0.000111  -0.000111  0.000915  -0.000915
2.6  2.4  2.8  0.005385  7.7e-05  -7.7e-05  0.000527  -0.000527
3.0  2.8  3.2  0.003255  6e-05  -6e-05  0.000371  -0.000371
3.4  3.2  3.6  0.001926  5.1e-05  -5.1e-05  0.000399  -0.000399
3.8  3.6  4.0  0.001227  3.4e-05  -3.4e-05  0.000252  -0.000252
4.5  4.0  5.0  0.0006134  1.7e-05  -1.7e-05  0.0001818  -0.0001818
5.5  5.0  6.0  0.00023  8.5e-06  -8.5e-06  6.87e-05  -6.87e-05

