#: table_doi: 10.17182/hepdata.19869.v1/t1
#: name: Table 1
#: description: Additional normalization systematic uncertainty of 27 pct for first eleven entries, and +32 pct(-46 pct) for last four entries.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> GAMMA X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Prompt | Double Differential Cross Section | Transverse Momentum Dependence
#: keyword cmenergies: 1.8-1800.0
#: RE,,,PBAR P --> GAMMA X
#: SQRT(S) [TeV],,,1.8
#: SQRT(S) [GeV],,,1800.0
'PT [GEV/C]','PT [GEV/C] LOW','PT [GEV/C] HIGH','D2(SIG)/D(PT)/D(ETARAP)','stat +','stat -','sys +','sys -'
14.5,14.0,15.0,3160.0,347.6,-347.6,663.6,-663.6
15.9,15.0,17.0,1550.0,186.0,-186.0,201.5,-201.5
17.9,17.0,19.0,1030.0,133.9,-133.9,61.8,-61.8
20.4,19.0,22.0,436.0,78.48,-78.48,8.72,-8.72
24.2,22.0,27.0,191.0,42.02,-42.02,22.92,-22.92
27.5,27.0,28.0,130.0,15.6,-15.6,29.9,-29.9
28.5,28.0,29.0,113.0,13.56,-13.56,29.38,-29.38
30.0,29.0,31.0,71.5,8.58,-8.58,22.88,-22.88
32.0,31.0,33.0,69.8,7.68,-7.68,27.92,-27.92
34.0,33.0,35.0,37.8,7.56,-7.56,18.9,-18.9
37.3,35.0,40.0,22.3,4.46,-4.46,15.83,-15.83
32.2,28.0,38.0,60.5,9.08,-9.08,4.24,-4.24
42.4,38.0,48.0,11.9,4.4,-4.4,0.71,-0.71
52.5,48.0,58.0,6.53,2.68,-2.68,0.39,-0.39
62.6,58.0,68.0,2.22,1.75,-1.75,0.18,-0.18

