#: table_doi: 10.17182/hepdata.22677.v1/t1
#: name: Table 1
#: description: Cross section using profile method and an isolation cut of 2 GeV in a cone around the photon. There is an additional 27 pct systematic uncertainty in addition to the PT dependent systematic errors shown in the table.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> GAMMA X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Prompt | Double Differential Cross Section | Transverse Momentum Dependence
#: keyword cmenergies: 1800.0
#: RE,,,PBAR P --> GAMMA X
#: SQRT(S) [GeV],,,1800.0,,,,
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','D2(SIG)/DPT/DETARAP [PB/GEV]','stat +','stat -','sys +','sys -'
14.5,14.0,15.0,3160.0,348.0,-348.0,664.0,-664.0
15.9,15.0,17.0,1550.0,186.0,-186.0,202.0,-202.0
17.9,17.0,19.0,1030.0,134.0,-134.0,62.0,-62.0
20.4,19.0,22.0,436.0,78.5,-78.5,8.7,-8.7
24.0,22.0,27.0,191.0,42.0,-42.0,22.9,-22.9
27.5,27.0,28.0,130.0,15.6,-15.6,29.9,-29.9
28.5,28.0,29.0,113.0,13.6,-13.6,29.4,-29.4
30.0,29.0,31.0,71.5,8.6,-8.6,22.9,-22.9
32.0,31.0,33.0,69.8,7.7,-7.7,27.9,-27.9
34.0,33.0,35.0,37.8,7.6,-7.6,18.9,-18.9
37.3,35.0,40.0,22.3,4.5,-4.5,15.8,-15.8

