#: table_doi: 10.17182/hepdata.42882.v1/t1
#: name: Table 1
#: description: The 1800 GeV isolated photon cross section. The systematic (DSYS) uncertainties include the normalisation uncertainties which are 100 PCT correlated bin tobin.

#: data_file: Table1.yaml
#: keyword reactions: PBAR P --> GAMMA X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence
#: keyword cmenergies: 1800.0
#: RE,PBAR P --> GAMMA X
#: SQRT(S) [GeV],1800.0,,,,
'PT [GEV]','D2(SIG)/DPT/DETARAP [PB/GEV]','stat +','stat -','sys +','sys -'
11.5,8840.0,796.0,-796.0,1591.0,-1591.0
12.5,7890.0,671.0,-671.0,1136.0,-1136.0
13.5,4500.0,450.0,-450.0,653.0,-653.0
14.5,2610.0,243.0,-243.0,425.0,-425.0
15.5,2400.0,202.0,-202.0,290.0,-290.0
17.0,1610.0,109.0,-109.0,201.0,-201.0
19.8,738.0,49.0,-49.0,89.0,-89.0
23.8,312.0,29.0,-29.0,35.0,-35.0
27.9,155.0,5.0,-5.0,16.0,-16.0
31.0,96.4,2.5,-2.5,10.1,-10.1
33.9,63.2,1.5,-1.5,6.8,-6.8
37.9,36.9,1.1,-1.1,4.0,-4.0
41.9,23.3,0.9,-0.9,2.5,-2.5
48.9,11.4,0.4,-0.4,1.3,-1.3
62.4,3.12,0.15,-0.15,0.32,-0.32
80.8,0.821,0.099,-0.099,0.087,-0.087
114.7,0.143,0.019,-0.019,0.016,-0.016

