#: table_doi: 10.17182/hepdata.22677.v1/t3
#: name: Table 3
#: description: Cross section using profile method and an isolation cut of 15 pct of the photon PT in a cone around the photon. There is an additional 29 pct systematic uncertainty in addition to the PT dependent systematic errors shown in the table.

#: data_file: Table3.yaml
#: keyword reactions: PBAR P --> GAMMA X
#: keyword observables: D2SIG/DETARAP/DPT
#: keyword phrases: Inclusive | Prompt | Double Differential Cross Section | Transverse Momentum Dependence
#: keyword cmenergies: 1800.0
#: RE,,,PBAR P --> GAMMA X
#: SQRT(S) [GeV],,,1800.0,,,,
'PT [GEV]','PT [GEV] LOW','PT [GEV] HIGH','D2(SIG)/DPT/DETARAP [PB/GEV]','stat +','stat -','sys +','sys -'
14.5,14.0,15.0,3040.0,365.0,-365.0,486.0,-486.0
15.9,15.0,17.0,1670.0,200.0,-200.0,150.0,-150.0
17.9,17.0,19.0,1110.0,144.3,-144.3,44.4,-44.4
20.4,19.0,22.0,492.0,88.6,-88.6,29.5,-29.5
24.0,22.0,27.0,253.0,48.1,-48.1,43.0,-43.0
27.5,27.0,28.0,150.0,16.5,-16.5,45.0,-45.0
28.5,28.0,29.0,138.0,15.2,-15.2,46.9,-46.9
30.0,29.0,31.0,80.4,9.6,-9.6,32.9,-32.9
32.0,31.0,33.0,68.3,8.9,-8.9,34.8,-34.8
34.0,33.0,35.0,32.7,8.5,-8.5,20.6,-20.6
37.3,35.0,40.0,26.4,4.8,-4.8,23.5,-23.5

