%: table_doi: 10.17182/hepdata.58958.v1/t1
%: name: Table 1
%: description: The measured prompt photon production spectra in the two |eta|  regions, 0.0-0.9 and 0.9-1.44.

%: data_file: Table1.yaml
%: keyword reactions: P P --> GAMMA X
%: keyword observables: D2SIG/DET/DETARAP
%: keyword phrases: Inclusive | Prompt | Double Differential Cross Section | Proton-Proton Scattering
%: keyword cmenergies: 7000.0

%: RE,,,P P --> GAMMA X
%: SQRT(S) [GeV],,,7000.0
%: ABS(ETARAP),,,0.9-1.44
%: ET(C=ISOLATION) [GEV],,,< 5
'ET [GEV]','ET [GEV] LOW','ET [GEV] HIGH','D2(SIG)/DET/DETARAP [NB/GEV]','stat +','stat -','sys +','sys -'
27.5,25.0,30.0,0.669,0.085,-0.085,0.125,-0.133
32.5,30.0,35.0,0.407,0.046,-0.046,0.067,-0.055
37.5,35.0,40.0,0.19,0.019,-0.019,0.031,-0.029
42.5,40.0,45.0,0.142,0.006,-0.006,0.019,-0.019
47.5,45.0,50.0,0.0781,0.0048,-0.0048,0.0096,-0.0093
52.5,50.0,55.0,0.0503,0.0024,-0.0024,0.0054,-0.0054
57.5,55.0,60.0,0.0346,0.0016,-0.0016,0.0031,-0.0034
62.5,60.0,65.0,0.0218,0.0012,-0.0012,0.0018,-0.0022
67.5,65.0,70.0,0.0158,0.001,-0.001,0.0014,-0.0015
75.0,70.0,80.0,0.0109,0.0005,-0.0005,0.001,-0.001
90.0,80.0,100.0,0.00486,0.00024,-0.00024,0.00037,-0.00035
110.0,100.0,120.0,0.002,0.0001,-0.0001,0.00021,-0.00017
160.0,120.0,200.0,0.000406,1.6e-05,-1.6e-05,2.3e-05,-2.3e-05
250.0,200.0,300.0,3.6e-05,3.9e-06,-3.9e-06,2e-06,-2e-06
350.0,300.0,400.0,7.84e-06,1.53e-06,-1.53e-06,7.5e-07,-7.5e-07

