Pt bin 	RawY	Conv	Nlin	Accep	P-up	RelCal	Mod	GlobE	tofCut	
0.7	11.906	3.5	41.436	1	0.4	0.5	4	0	1.05	43.468
0.9	17.966	3.5	18.856	1	0.4	0.5	4	3.239	1.05	26.825
1.1	8.09	3.5	9.043	1	0.4	0.5	4	3.98	1.05	13.922
1.3	7.271	3.5	4.778	1	0.4	0.5	4	4.395	1.05	11.215
1.5	5.853	3.5	2.925	1	0.4	0.5	4	4.684	1.05	9.773
1.7	4.528	3.5	2.119	1	0.4	0.5	4	4.905	1.05	8.934
1.9	4.014	3.5	1.769	1	0.4	0.5	4	5.082	1.05	8.708
2.1	3.7	3.5	1.617	1	0.4	0.5	4	5.23	1.05	8.627
2.3	3.218	3.5	1.551	1	0.4	0.5	4	5.355	1.05	8.497
2.5	3.479	3.5	1.522	1	0.4	0.5	4	5.464	1.05	8.662
2.8	3.035	3.5	1.506	1	0.4	0.5	4	5.603	1.05	8.581
3.2	3.478	3.5	1.501	1	0.4	0.5	4	5.771	1.05	8.855
3.8	4.34	3.5	1.5	1	0.4	0.5	4	5.917	1.05	9.320
4.5	2.598	3.5	1.5	1	0.4	0.5	4	6.086	1.05	8.764
5.5	4.204	3.5	1.5	1	0.4	0.5	4	6.25	1.05	9.474
7	2.302	3.5	1.5	1	0.4	0.5	4	6.42	1.05	8.918
9	3.678	3.5	1.5	1	0.4	0.5	4	6.572	1.05	9.473
11	2.355	3.5	1.5	1	0.4	0.5	4	6.676	1.05	9.117
