Pt bin     SignalExtraction   BadChannel   Pileup   NonLinearity   EnergyScale   Conversion   Period
1.1        8.53822        5.4        1.2        6.45709        0.386112        3.5        4.33285        13.2804
1.3        4.61555        5.4        1.2        4.11678        0.402965        3.5        4.33285        10.0019
1.5        2.968        5.4        1.2        2.89059        0.425072        3.5        4.33285        8.88644
1.7        2.27602        5.4        1.2        2.21003        0.448113        3.5        4.33285        8.47873
1.9        1.98539        5.4        1.2        1.81959        0.469359        3.5        4.33285        8.31243
2.1        1.86332        5.4        1.2        1.59067        0.487772        3.5        4.33285        8.23794
2.3        1.81205        5.4        1.2        1.45375        0.503271        3.5        4.33285        8.20206
2.5        1.79052        5.4        1.2        1.37        0.516174        3.5        4.33285        8.1837
2.7        1.78147        5.4        1.2        1.31746        0.5269        3.5        4.33285        8.17377
2.9        1.77767        5.4        1.2        1.28359        0.535853        3.5        4.33285        8.16814
3.1        1.77608        5.4        1.2        1.26117        0.543371        3.5        4.33285        8.16479
3.3        1.77541        5.4        1.2        1.24594        0.54973        3.5        4.33285        8.16273
3.5        1.77513        5.4        1.2        1.23534        0.555147        3.5        4.33285        8.16143
3.7        1.77501        5.4        1.2        1.2278        0.559793        3.5        4.33285        8.16058
3.9        1.77496        5.4        1.2        1.22233        0.563805        3.5        4.33285        8.16003
4.25        1.77493        5.4        1.2        1.21599        0.569612        3.5        4.33285        8.15948
4.75        1.77492        5.4        1.2        1.21104        0.57592        3.5        4.33285        8.15918
5.25        1.77492        5.4        1.2        1.2087        0.580601        3.5        4.33285        8.15917
5.75        6.09646        5.4        12.4579        5.73312        2.96675        3.5        4.33285        17.1529
6.25        5.73528        5.4        12.4579        5.67046        3.00739        3.5        4.33285        17.014
6.75        5.73488        5.4        12.4579        5.62209        3.05005        3.5        4.33285        17.0054
7.25        5.73488        5.4        12.4579        5.59411        3.08347        3.5        4.33285        17.0022
7.75        5.73488        5.4        12.4579        5.57649        3.11035        3.5        4.33285        17.0013
8.25        5.73488        5.4        12.4579        5.56467        3.13244        3.5        4.33285        17.0015
8.75        5.73488        5.4        12.4579        5.55643        3.15092        3.5        4.33285        17.0022
9.5        0.923226        5.4        12.4579        5.25758        0.613327        3.5        0        15.016
10.5        0.923226        5.4        12.4579        5.22784        0.617622        3.5        0        15.0058
11.5        0.923226        5.4        12.4579        5.20735        0.621214        3.5        0        14.9988
12.5        0.923226        5.4        12.4579        5.19284        0.624262        3.5        0        14.9939
13.5        0.923226        5.4        12.4579        5.18232        0.626882        3.5        0        14.9904
14.5        0.923226        5.4        12.4579        5.17453        0.629157        3.5        0        14.9878
15.5        0.923226        5.4        12.4579        5.16865        0.631152        3.5        0        14.9858
16.5        0.923226        5.4        12.4579        5.16412        0.632915        3.5        0        14.9844
17.5        0.923226        5.4        12.4579        5.16058        0.634484        3.5        0        14.9832
19        0.923226        5.4        12.4579        5.15659        0.63654        3.5        0        14.9819
21        0.923226        5.4        12.4579        5.1529        0.638839        3.5        0        14.9807
24        0.923226        5.4        12.4579        5.14942        0.64159        3.5        0        14.9797
28        0.923226        5.4        12.4579        5.14682        0.644364        3.5        0        14.9789
32.5        0.923226        5.4        12.4579        5.14522        0.646687        3.5        0        14.9784
