mu=pt/2;

    y_min     y_max        pt       direct     frag       sum
 -8.000E-01  8.000E-01  2.000E+00  2.257E+05  9.700E+05  1.196E+06
 -8.000E-01  8.000E-01  2.500E+00  1.071E+05  4.108E+05  5.179E+05
 -8.000E-01  8.000E-01  3.000E+00  6.273E+04  1.995E+05  2.622E+05
 -8.000E-01  8.000E-01  3.500E+00  3.827E+04  1.026E+05  1.409E+05
 -8.000E-01  8.000E-01  4.000E+00  2.399E+04  5.602E+04  8.001E+04
 -8.000E-01  8.000E-01  4.500E+00  1.552E+04  3.242E+04  4.794E+04
 -8.000E-01  8.000E-01  5.000E+00  1.034E+04  1.967E+04  3.001E+04
 -8.000E-01  8.000E-01  5.500E+00  7.068E+03  1.242E+04  1.948E+04
 -8.000E-01  8.000E-01  6.000E+00  4.957E+03  8.115E+03  1.307E+04
 -8.000E-01  8.000E-01  6.500E+00  3.550E+03  5.472E+03  9.023E+03
 -8.000E-01  8.000E-01  7.000E+00  2.593E+03  3.793E+03  6.386E+03
 -8.000E-01  8.000E-01  7.500E+00  1.928E+03  2.700E+03  4.627E+03
 -8.000E-01  8.000E-01  8.000E+00  1.455E+03  1.954E+03  3.409E+03
 -8.000E-01  8.000E-01  8.500E+00  1.114E+03  1.440E+03  2.554E+03
 -8.000E-01  8.000E-01  9.000E+00  8.627E+02  1.076E+03  1.939E+03
 -8.000E-01  8.000E-01  9.500E+00  6.779E+02  8.227E+02  1.501E+03
 -8.000E-01  8.000E-01  1.000E+01  5.381E+02  6.346E+02  1.173E+03
 -8.000E-01  8.000E-01  1.050E+01  4.313E+02  4.966E+02  9.279E+02
 -8.000E-01  8.000E-01  1.100E+01  3.485E+02  3.930E+02  7.415E+02
 -8.000E-01  8.000E-01  1.150E+01  2.841E+02  3.130E+02  5.971E+02
 -8.000E-01  8.000E-01  1.200E+01  2.334E+02  2.517E+02  4.851E+02
 -8.000E-01  8.000E-01  1.250E+01  1.930E+02  2.045E+02  3.975E+02
 -8.000E-01  8.000E-01  1.300E+01  1.607E+02  1.673E+02  3.281E+02
 -8.000E-01  8.000E-01  1.350E+01  1.346E+02  1.379E+02  2.725E+02
 -8.000E-01  8.000E-01  1.400E+01  1.135E+02  1.146E+02  2.281E+02
 -8.000E-01  8.000E-01  1.450E+01  9.610E+01  9.548E+01  1.916E+02
 -8.000E-01  8.000E-01  1.500E+01  8.182E+01  7.992E+01  1.617E+02
 -8.000E-01  8.000E-01  1.550E+01  6.996E+01  6.749E+01  1.374E+02
 -8.000E-01  8.000E-01  1.600E+01  6.012E+01  5.709E+01  1.172E+02
 -8.000E-01  8.000E-01  1.650E+01  5.186E+01  4.871E+01  1.006E+02
 -8.000E-01  8.000E-01  1.700E+01  4.491E+01  4.168E+01  8.660E+01
 -8.000E-01  8.000E-01  1.750E+01  3.905E+01  3.581E+01  7.486E+01
 -8.000E-01  8.000E-01  1.800E+01  3.407E+01  3.091E+01  6.498E+01
 -8.000E-01  8.000E-01  1.850E+01  2.982E+01  2.678E+01  5.660E+01
 -8.000E-01  8.000E-01  1.900E+01  2.619E+01  2.329E+01  4.948E+01
 -8.000E-01  8.000E-01  1.950E+01  2.307E+01  2.036E+01  4.343E+01
 -8.000E-01  8.000E-01  2.000E+01  2.039E+01  1.784E+01  3.823E+01
 -8.000E-01  8.000E-01  2.050E+01  1.806E+01  1.563E+01  3.369E+01
 -8.000E-01  8.000E-01  2.100E+01  1.604E+01  1.377E+01  2.981E+01
 -8.000E-01  8.000E-01  2.150E+01  1.429E+01  1.212E+01  2.641E+01
 -8.000E-01  8.000E-01  2.200E+01  1.275E+01  1.071E+01  2.347E+01
