#---------Pb+Pb@2.76A TeV at LHC, 0--10%-----------------------------------
#     pT            (thmermal+prompt)    (thermal)         (prompt)
#                     dN/d^2p_Tdy       dN/d^2p_Tdy       dN/d^2p_Tdy
#--------------------------------------------------------------------------
   1.00000000             -            0.714356005              -
   2.00000000       7.13379979E-02     4.25399989E-02     2.87979972E-02
   3.00000000       9.16547701E-03     4.49967990E-03     4.66579711E-03
   4.00000000       1.78912561E-03     6.59653975E-04     1.12947170E-03
   5.00000000       5.37033135E-04     1.17820025E-04     4.19213116E-04
   6.00000000       1.79738214E-04     2.38022003E-05     1.55936010E-04
   6.50000000                                             1.16637631E-04
   7.00000000           -                   -             8.72416495E-05
   8.00000000           -                   -             3.85788953E-05
   9.00000000           -                   -             2.14041738E-05
   10.0000000           -                   -             1.22766151E-05
   11.0000000           -                   -             7.98277961E-06
   12.0000000           -                   -             4.73860837E-06
   13.0000000           -                   -             3.37861729E-06
   14.0000000           -                   -             2.27681585E-06
   15.0000000           -                   -             1.53266217E-06
