#-----------------Pb+Pb@2.76A TeV, 20--50\%----------------------------
#----------------------------------------------------------------------
#     pT            (thmermal+prompt)    (thermal)         (prompt)
#                     dN/d^2p_Tdy       dN/d^2p_Tdy       dN/d^2p_Tdy
#----------------------------------------------------------------------
   1.00000000             -          0.187788919           -
   2.00000000       1.80660784E-02   1.12299863E-02   6.83609210E-03
   3.00000000       2.24994821E-03   1.14490546E-03   1.10504264E-03
   4.00000000       4.25205246E-04   1.56418129E-04   2.68787117E-04
   5.00000000       1.24637809E-04   2.57294287E-05   9.89083783E-05
   6.00000000       4.19746357E-05   4.79261371E-06   3.71820206E-05
   6.50000000             -                -          2.77989857E-05
   7.00000000             -                -          2.05605011E-05
   8.50000000             -                -          8.63232890E-06
   9.50000000             -                -          4.81740108E-06
   10.5000000             -                -          2.77718414E-06
   11.5000000             -                -          1.81532437E-06
   12.5000000             -                -          1.07621406E-06
   13.5000000             -                -          7.67520703E-07
   14.5000000             -                -          5.22526875E-07
   15.5000000             -                -          3.52321734E-07
   
