% Equilibrium
%            eta                                                      pi0
% pt(GeV)    0-10%     10-20%     20-40%   40-60%   60-80%            0-10%     10-20%     20-40%   40-60%   60-80%      
0.05 48.564 30.23424 16.65696 6.61409 2.16612 2219.556 1418.184 794.238 308.6004 90.69348
0.15 46.83084 28.44564 15.49236 6.38438 2.01602 1488.396 947.652 525.8448 206.2584 60.32292
0.25 41.65632 25.45932 14.04768 5.77216 1.79106 878.3976 557.0352 310.0536 121.4604 35.13228
0.35 35.55792 22.12452 12.3174 4.95212 1.51015 523.4148 333.6096 185.982 72.24156 20.61564
0.45 29.61696 18.50496 10.31234 4.10143 1.22696 323.6172 207.5268 115.9854 44.62944 12.5046
0.55 23.76696 15.22908 8.52935 3.31469 0.97319 207.0384 134.1348 75.27516 28.59996 7.82816
0.65 19.01148 12.21408 6.86537 2.63528 0.7557 135.6876 88.63524 50.07696 18.7374 5.03836
0.75 14.78544 9.7193 5.4656 2.08538 0.58442 90.95112 59.92488 34.029 12.66192 3.31352
0.85 11.53777 7.71493 4.30518 1.64352 0.44542 62.35356 41.39208 23.66244 8.6691 2.22218
0.95 8.87942 6.08161 3.40097 1.26089 0.33753 43.23816 28.99104 16.62384 6.03605 1.51237
1.05 6.78274 4.70148 2.68504 0.98923 0.25333 30.38388 20.53056 11.81851 4.23029 1.04084
1.15 5.18785 3.69118 2.07035 0.7583 0.19279 21.66 14.68212 8.46463 3.02845 0.72495
1.25 3.98654 2.85862 1.623 0.59075 0.14747 15.5142 10.64017 6.13493 2.1696 0.50727
1.35 3.04469 2.23733 1.27553 0.45493 0.11027 11.25953 7.74139 4.48583 1.57852 0.36076
1.45 2.35277 1.74234 1.00119 0.34752 0.08427 8.19419 5.72284 3.31025 1.14831 0.25826
1.55 1.84022 1.34702 0.77958 0.27142 0.06326 6.02658 4.2235 2.46553 0.84305 0.18442
1.65 1.41509 1.05563 0.61583 0.21227 0.04821 4.43188 3.11292 1.84138 0.61722 0.13276
1.75 1.08166 0.81773 0.47812 0.16263 0.03671 3.33053 2.34022 1.38277 0.46147 0.09646
1.85 0.84719 0.63847 0.37815 0.12367 0.02731 2.48759 1.75288 1.04122 0.34429 0.07076
1.95 0.66804 0.49867 0.30197 0.10173 0.02072 1.85744 1.3162 0.78723 0.25572 0.05138
2.05 0.5216 0.3927 0.23303 0.07654 0.0162 1.40135 1.00727 0.5969 0.19369 0.03824
2.15 0.40471 0.30318 0.18196 0.05994 0.01206 1.06951 0.76832 0.4574 0.14644 0.02821
2.25 0.31735 0.23655 0.14428 0.04787 0.00901 0.81682 0.56579 0.34611 0.10901 0.02036
2.35 0.2485 0.18571 0.11187 0.03602 0.0069 0.60762 0.44709 0.27372 0.08415 0.01553
2.45 0.19403 0.14469 0.08912 0.02923 0.00556 0.47091 0.33613 0.20322 0.06252 0.01136
2.55 0.15435 0.11415 0.07173 0.02183 0.00397 0.36352 0.26063 0.16177 0.04837 0.00857
2.65 0.11972 0.08833 0.05549 0.0168 0.00302 0.27908 0.19927 0.11966 0.03696 0.00631
2.75 0.095 0.07337 0.04414 0.01389 0.00243 0.21081 0.15177 0.0936 0.02866 0.00468
2.85 0.07285 0.05995 0.03536 0.01094 0.00186 0.15941 0.11853 0.07271 0.02151 0.00363
2.95 0.05788 0.04599 0.02671 0.00892 0.00134 0.1269 0.09079 0.05569 0.01787 0.00272

