% Non-Equilibrium (with condensate)
%                eta                                                                                   pi0
%pt(GeV)    0-10%     10-20%     20-40%   40-60%   60-80%            0-10%     10-20%     20-40%   40-60%   60-80%
0.05 17.42256 12.165 7.05714 2.83289 1.31074 2335.044 1624.584 878.4612 366.3168 113.00112
0.15 16.4898 11.25488 6.76105 2.78029 1.22004 1568.052 1110.7644 603.0144 262.614 74.82744
0.25 15.57768 10.5009 6.18524 2.55631 1.10364 805.8096 542.4192 296.8092 109.20108 31.73124
0.35 13.97556 9.34319 5.51146 2.26813 0.94802 458.6796 307.1472 170.4624 64.0758 18.69036
0.45 12.00084 8.1488 4.79731 1.96114 0.78311 281.9676 188.7372 105.30672 39.72048 11.42321
0.55 10.16464 6.92896 4.02805 1.63771 0.63349 181.3992 121.5756 68.14896 25.68276 7.23677
0.65 8.47633 5.68421 3.36998 1.35079 0.49886 120.3384 80.93928 45.60036 17.12868 4.71175
0.75 6.90167 4.62676 2.71192 1.09422 0.39046 82.54152 55.40292 31.21368 11.6548 3.13278
0.85 5.49737 3.70186 2.17904 0.877 0.3006 57.34992 38.60988 21.77412 8.09922 2.12963
0.95 4.4453 2.98393 1.7459 0.69124 0.23219 40.47348 27.31452 15.4152 5.7001 1.46452
1.05 3.48772 2.35729 1.39219 0.54411 0.17754 28.8564 19.47804 11.02382 4.06831 1.01888
1.15 2.77932 1.86962 1.09546 0.42912 0.13526 20.94348 14.11212 7.97122 2.94313 0.7147
1.25 2.18197 1.48813 0.85304 0.3335 0.10405 15.26688 10.25996 5.81116 2.1371 0.50829
1.35 1.70267 1.16513 0.68662 0.26409 0.07881 11.18644 7.51391 4.28303 1.57606 0.36494
1.45 1.35184 0.91811 0.54006 0.20532 0.06054 8.25596 5.56451 3.19415 1.15903 0.26404
1.55 1.07069 0.71835 0.4197 0.16328 0.04652 6.16048 4.18084 2.38022 0.86288 0.19039
1.65 0.83628 0.56195 0.33321 0.12617 0.03528 4.57248 3.08462 1.78025 0.6407 0.13878
1.75 0.64966 0.43888 0.26507 0.09833 0.02701 3.44011 2.32925 1.33986 0.47844 0.10179
1.85 0.52092 0.34552 0.19761 0.07853 0.02062 2.59748 1.76269 1.01866 0.36342 0.07515
1.95 0.40759 0.26901 0.16214 0.06035 0.01562 1.97359 1.33156 0.75702 0.27324 0.0553
2.05 0.31124 0.21353 0.1276 0.04798 0.01229 1.48466 1.01152 0.57937 0.207 0.04104
2.15 0.2396 0.16808 0.09801 0.03755 0.00942 1.15007 0.77892 0.4419 0.15781 0.03078
2.25 0.19438 0.13165 0.0784 0.02955 0.00727 0.87879 0.58945 0.34643 0.12066 0.023
2.35 0.14801 0.10408 0.06498 0.02348 0.00535 0.6523 0.45131 0.26079 0.09196 0.01701
2.45 0.11834 0.08252 0.04772 0.01785 0.00404 0.50567 0.34234 0.20112 0.07162 0.01281
2.55 0.09356 0.06717 0.03867 0.01453 0.00323 0.39946 0.26567 0.15233 0.05451 0.00971
2.65 0.07204 0.05192 0.03041 0.01161 0.00233 0.30404 0.20332 0.12106 0.04242 0.00729
2.75 0.06087 0.04098 0.02423 0.0091 0.00189 0.22956 0.16181 0.09219 0.03287 0.00553
2.85 0.0448 0.0329 0.01806 0.0072 0.00142 0.17746 0.12281 0.0739 0.02529 0.00416
2.95 0.03517 0.02595 0.01432 0.00564 0.00113 0.144 0.09708 0.05496 0.01984 0.00314
