% RAA predictions for pion RAA in Pb+Pb collisions with Bjorken expansion:
% 0-5% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.09		0.11
8		0.14		0.16
11		0.18		0.22
14		0.22		0.26
17		0.26		0.30
20		0.29		0.34
23		0.32		0.37
26		0.34		0.40
29		0.37		0.43
32		0.39		0.45
35		0.41		0.47
38		0.43		0.49
41		0.45		0.51
44		0.47		0.53
47		0.48		0.55
50		0.50		0.56
% 5-10% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.11		0.13
8		0.16		0.19
11		0.21		0.24
14		0.25		0.29
17		0.29		0.34
20		0.32		0.37
23		0.35		0.41
26		0.38		0.44
29		0.41		0.46
32		0.43		0.49
35		0.45		0.51
38		0.47		0.53
41		0.49		0.55
44		0.51		0.57
47		0.52		0.58
50		0.54		0.60
% 10-20% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.13		0.16
8		0.19		0.22
11		0.24		0.28
14		0.29		0.34
17		0.33		0.38
20		0.37		0.42
23		0.40		0.46
26		0.43		0.49
29		0.46		0.51
32		0.48		0.54
35		0.51		0.56
38		0.53		0.58
41		0.55		0.60
44		0.56		0.62
47		0.58		0.63
50		0.60		0.65
% 20-40% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.19		0.21
8		0.26		0.29
11		0.33		0.37
14		0.38		0.43
17		0.43		0.48
20		0.47		0.52
23		0.51		0.55
26		0.54		0.58
29		0.57		0.61
32		0.59		0.63
35		0.61		0.66
38		0.63		0.68
41		0.65		0.69
44		0.67		0.71
47		0.69		0.72
50		0.70		0.74
% 40-60% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.29		0.32
8		0.39		0.42
11		0.47		0.50
14		0.53		0.57
17		0.58		0.61
20		0.62		0.65
23		0.66		0.69
26		0.69		0.71
29		0.71		0.74
32		0.73		0.76
35		0.75		0.78
38		0.77		0.79
41		0.78		0.80
44		0.80		0.82
47		0.81		0.83
50		0.82		0.83
% 60-80% centrality:
% pt(GeV)	RAA_min	Raa_max
5		0.47		0.49
8		0.59		0.60
11		0.66		0.68
14		0.72		0.74
17		0.76		0.78
20		0.79		0.81
23		0.82		0.83
26		0.84		0.85
29		0.85		0.86
32		0.86		0.87
35		0.87		0.88
38		0.88		0.89
41		0.89		0.90
44		0.89		0.90
47		0.90		0.91
50		0.90		0.91
