!-------neutral pions------40to60------
oh name pt-pi-40to60 xrange 0 14 htyp lin xmod lin ymod log
txt ""xaxis pt "" txt ""yaxis dn/dptdy"" txt ""title[p]^0!   40to60%""
histoweight 551622
array  3
1.000000e-01 1.500310e+02 3.687685e-02
3.000000e-01 1.656462e+02 3.874841e-02
5.000000e-01 9.892958e+01 2.994500e-02
7.000000e-01 5.621920e+01 2.257380e-02
9.000000e-01 3.205437e+01 1.704555e-02
1.100000e+00 1.852205e+01 1.295710e-02
1.300000e+00 1.085335e+01 9.918467e-03
1.500000e+00 6.475125e+00 7.660771e-03
1.700000e+00 3.927552e+00 5.966642e-03
1.900000e+00 2.439064e+00 4.701847e-03
2.100000e+00 1.536354e+00 3.731748e-03
2.300000e+00 9.911390e-01 2.997193e-03
2.500000e+00 6.477735e-01 2.423106e-03
2.700000e+00 4.350610e-01 1.985822e-03
2.900000e+00 2.975072e-01 1.642145e-03
3.100000e+00 2.112793e-01 1.383853e-03
3.300000e+00 1.482331e-01 1.159161e-03
3.500000e+00 1.083767e-01 9.911631e-04
3.700000e+00 8.022840e-02 8.528158e-04
3.900000e+00 6.018486e-02 7.386307e-04
4.100000e+00 4.511989e-02 6.395494e-04
4.300000e+00 3.578411e-02 5.695371e-04
4.500000e+00 2.917638e-02 5.142708e-04
4.700000e+00 2.207087e-02 4.472886e-04
4.900000e+00 1.883502e-02 4.132000e-04
5.100000e+00 1.506471e-02 3.695332e-04
5.300000e+00 1.331559e-02 3.474124e-04
5.500000e+00 1.102232e-02 3.160823e-04
5.700000e+00 8.919466e-03 2.843344e-04
5.900000e+00 7.251619e-03 2.563748e-04
6.100000e+00 6.444682e-03 2.416926e-04
6.300000e+00 5.674200e-03 2.267867e-04
6.500000e+00 4.668020e-03 2.056998e-04
6.700000e+00 3.843125e-03 1.866419e-04
6.900000e+00 3.834034e-03 1.864223e-04
7.100000e+00 2.972921e-03 1.641583e-04
7.300000e+00 2.891347e-03 1.618911e-04
7.500000e+00 2.347499e-03 1.458713e-04
7.700000e+00 2.084648e-03 1.374618e-04
7.900000e+00 1.903363e-03 1.313499e-04
8.100000e+00 1.631448e-03 1.216057e-04
8.300000e+00 1.595198e-03 1.202458e-04
8.500000e+00 1.468304e-03 1.153645e-04
8.700000e+00 1.160125e-03 1.025452e-04
8.900000e+00 1.151062e-03 1.021430e-04
9.100000e+00 8.338351e-04 8.693498e-05
9.300000e+00 7.522670e-04 8.257422e-05
9.500000e+00 6.706958e-04 7.796792e-05
9.700000e+00 5.800627e-04 7.250972e-05
9.900000e+00 5.166136e-04 6.842831e-05
1.010000e+01 5.528661e-04 7.078881e-05
1.030000e+01 4.984922e-04 6.721695e-05
1.050000e+01 4.259806e-04 6.213685e-05
1.070000e+01 5.256761e-04 6.902574e-05
1.090000e+01 3.534727e-04 5.660122e-05
1.110000e+01 2.900261e-04 5.127055e-05
1.130000e+01 3.716037e-04 5.803570e-05
1.150000e+01 4.622344e-04 6.472709e-05
1.170000e+01 3.172176e-04 5.361991e-05
1.190000e+01 1.903298e-04 4.153383e-05
1.210000e+01 1.812673e-04 4.053353e-05
1.230000e+01 1.994015e-04 4.251339e-05
1.250000e+01 2.175223e-04 4.440155e-05
1.270000e+01 1.540775e-04 3.736929e-05
1.290000e+01 1.631397e-04 3.845262e-05
1.310000e+01 1.903349e-04 4.153467e-05
1.330000e+01 1.359523e-04 3.510327e-05
1.350000e+01 1.722053e-04 3.950777e-05
1.370000e+01 1.087602e-04 3.139637e-05
1.390000e+01 9.969879e-05 3.006032e-05
