!-------neutral pions-----60to80-------
oh name pt-pi-60to80 xrange 0 14 htyp lin xmod lin ymod log
txt ""xaxis pt "" txt ""yaxis dn/dptdy"" txt ""title[p]^0!   60to80%""
histoweight 552336
array  3
1.000000e-01 4.268333e+01 1.965670e-02
3.000000e-01 4.593670e+01 2.039224e-02
5.000000e-01 2.578128e+01 1.527695e-02
7.000000e-01 1.371739e+01 1.114328e-02
9.000000e-01 7.417140e+00 8.194068e-03
1.100000e+00 4.122807e+00 6.109096e-03
1.300000e+00 2.347285e+00 4.609643e-03
1.500000e+00 1.371731e+00 3.523847e-03
1.700000e+00 8.210307e-01 2.726243e-03
1.900000e+00 5.048902e-01 2.137852e-03
2.100000e+00 3.189204e-01 1.699132e-03
2.300000e+00 2.076721e-01 1.371074e-03
2.500000e+00 1.373472e-01 1.115056e-03
2.700000e+00 9.498183e-02 9.272868e-04
2.900000e+00 6.426201e-02 7.627590e-04
3.100000e+00 4.735207e-02 6.547512e-04
3.300000e+00 3.260622e-02 5.433074e-04
3.500000e+00 2.547293e-02 4.802140e-04
3.700000e+00 1.851161e-02 4.093724e-04
3.900000e+00 1.487255e-02 3.669370e-04
4.100000e+00 1.138736e-02 3.210777e-04
4.300000e+00 9.504831e-03 2.933339e-04
4.500000e+00 7.531361e-03 2.611123e-04
4.700000e+00 6.255079e-03 2.379572e-04
4.900000e+00 4.870159e-03 2.099640e-04
5.100000e+00 4.209332e-03 1.952008e-04
5.300000e+00 3.955799e-03 1.892302e-04
5.500000e+00 3.023459e-03 1.654332e-04
5.700000e+00 2.652303e-03 1.549472e-04
5.900000e+00 2.416949e-03 1.479109e-04
6.100000e+00 1.692758e-03 1.237845e-04
6.300000e+00 1.837550e-03 1.289722e-04
6.500000e+00 1.267281e-03 1.071041e-04
6.700000e+00 1.149617e-03 1.020095e-04
6.900000e+00 1.031933e-03 9.664769e-05
7.100000e+00 7.603613e-04 8.296095e-05
7.300000e+00 9.142518e-04 9.097057e-05
7.500000e+00 6.607993e-04 7.733954e-05
7.700000e+00 6.245900e-04 7.519055e-05
7.900000e+00 5.250196e-04 6.893769e-05
8.100000e+00 4.616506e-04 6.464236e-05
8.300000e+00 4.163919e-04 6.139247e-05
8.500000e+00 3.892349e-04 5.935678e-05
8.700000e+00 3.168130e-04 5.355146e-05
8.900000e+00 3.077635e-04 5.278142e-05
9.100000e+00 2.806075e-04 5.039873e-05
9.300000e+00 1.719847e-04 3.945527e-05
9.500000e+00 2.081964e-04 4.341148e-05
9.700000e+00 2.262951e-04 4.525836e-05
9.900000e+00 1.719814e-04 3.945524e-05
1.010000e+01 1.810310e-04 4.047977e-05
1.030000e+01 1.176725e-04 3.263649e-05
1.050000e+01 1.176738e-04 3.263683e-05
1.070000e+01 1.176715e-04 3.263620e-05
1.090000e+01 9.956931e-05 3.002128e-05
1.110000e+01 9.051551e-05 2.862352e-05
1.130000e+01 9.956792e-05 3.002086e-05
1.150000e+01 1.267243e-04 3.386848e-05
1.170000e+01 1.176739e-04 3.263688e-05
1.190000e+01 3.620579e-05 1.810289e-05
1.210000e+01 7.241436e-05 2.560234e-05
1.230000e+01 4.525958e-05 2.024070e-05
1.250000e+01 6.336300e-05 2.394896e-05
1.270000e+01 9.051742e-05 2.862412e-05
1.290000e+01 5.431146e-05 2.217256e-05
1.310000e+01 2.715356e-05 1.567711e-05
1.330000e+01 4.525993e-05 2.024086e-05
1.350000e+01 8.146632e-05 2.715544e-05
1.370000e+01 1.810428e-05 1.280166e-05
1.390000e+01 1.810342e-05 1.280105e-05
