#pT	yield	stat_err_yield	v_1	 stat_err_v_1	v_2	 stat_err_v_2	v_3	 stat_err_v_3	v_4	 stat_err_v_4	v_5	 stat_err_v_5	
2.000000000000000111e-01 5.996162411828655081e+01 1.293765778931855293e+00 9.337702897302978255e-03 1.281387535986117186e-03 3.232954400166209580e-02 3.079123272998580789e-03 9.491242511561016199e-03 1.205404757322238105e-03 4.624497890364476574e-03 7.136872543703990518e-04 5.134497185155629346e-04 6.943281637674525312e-05
4.000000000000000222e-01 7.682871584213885718e+00 1.700623864527457396e-01 1.377284981847656103e-02 1.845395923596368330e-03 3.833443154442119777e-02 3.681876470306866961e-03 1.010759860736398438e-02 1.315003827890243475e-03 5.026834897362653792e-03 7.828519551693241584e-04 1.602081373554945865e-03 2.183587706819705646e-04
5.999999999999999778e-01 2.170336260707449672e+00 4.903841383176194696e-02 1.765928108011265846e-02 2.384587040505900795e-03 5.237052807680570021e-02 5.034887699283037768e-03 1.398432744177376293e-02 1.812290740731571171e-03 6.616666618740964928e-03 1.025303345139201051e-03 2.403351669586834514e-03 3.276306608449030297e-04
8.000000000000000444e-01 8.182166469176795909e-01 1.908670016811140485e-02 1.850008881297899796e-02 2.514398626771760081e-03 6.684412318786155105e-02 6.422219003426501982e-03 1.927415610995510120e-02 2.493590260840948623e-03 9.362359946266973418e-03 1.443814122867375640e-03 3.274197684294451356e-03 4.459437366580290877e-04
1.000000000000000000e+00 3.583236917664220922e-01 8.698233566001163999e-03 1.657508792391440555e-02 2.269862949126798084e-03 7.911155944696070252e-02 7.593469442795550486e-03 2.497929875221872181e-02 3.232097892709568342e-03 1.305669426834182509e-02 2.005067425718944606e-03 4.596105986906637644e-03 6.232874545435884619e-04
1.199999999999999956e+00 1.718390778093310256e-01 4.353428213951922483e-03 1.298947343873252738e-02 1.807423388295277067e-03 8.815467285450023782e-02 8.455985651453770333e-03 3.008630087523985960e-02 3.899789237507344380e-03 1.700721273073350220e-02 2.597120288058735790e-03 6.394150124097605810e-03 8.623609599305437487e-04
1.399999999999999911e+00 8.781549983209124832e-02 2.319044963732616853e-03 8.517043933977551731e-03 1.282253979305159010e-03 9.349901232651043614e-02 8.980479835922469678e-03 3.399988190854439513e-02 4.425033374761677511e-03 2.066293867724878358e-02 3.141523582002671983e-03 8.425753695556660247e-03 1.131512470798530902e-03
1.600000000000000089e+00 4.716549515653831182e-02 1.292520172768387397e-03 3.881472245521023611e-03 8.470228804519960419e-04 9.539613909578924245e-02 9.197407971591844630e-03 3.647864048623264410e-02 4.778055817610991733e-03 2.357195727246862160e-02 3.572288320326100133e-03 1.037492819682675482e-02 1.389951879316144150e-03
1.800000000000000044e+00 2.639893678394553828e-02 7.456386913794923587e-04 -3.006604745164507208e-04 7.699253890286455321e-04 9.398317299386808876e-02 9.122502067588739508e-03 3.739002430909777602e-02 4.941686858627758125e-03 2.540739651513719555e-02 3.844613878167648172e-03 1.198286801531773908e-02 1.604990716022626973e-03
2.000000000000000000e+00 1.530106534174231064e-02 4.415830500157004066e-04 -3.399017718454264234e-03 9.783814725046135162e-04 8.939202207826223157e-02 8.762947567398331541e-03 3.665859713762259497e-02 4.901153711364038962e-03 2.591748035066410855e-02 3.922455103179815425e-03 1.309838397038352344e-02 1.758205846660351734e-03
2.200000000000000178e+00 9.200643808420352898e-03 2.693008616739346649e-04 -6.061457246625347878e-03 1.255156162864284235e-03 8.324689675989237203e-02 8.266318460638310411e-03 3.502269549729056242e-02 4.750929551550835475e-03 2.562335350606812640e-02 3.885211509653652140e-03 1.357964187598529292e-02 1.831185440297914378e-03
2.399999999999999911e+00 5.715716866426879920e-03 1.683700730118350920e-04 -7.955373604311564290e-03 1.475411400724072238e-03 7.575258812185775570e-02 7.642353653944277368e-03 3.254304203543992996e-02 4.494018399848717302e-03 2.449566600948631379e-02 3.728710813084009073e-03 1.346087474447531587e-02 1.828716666508259370e-03
2.600000000000000089e+00 3.655916602971762304e-03 1.075702856825843344e-04 -8.897181105213572763e-03 1.582452709441843196e-03 6.712397490333013583e-02 6.901869305441289161e-03 2.932112741807558695e-02 4.138679756596518218e-03 2.258303716909062023e-02 3.459326488018537021e-03 1.284252784506828907e-02 1.763544802302517093e-03
2.799999999999999822e+00 2.407585539368926539e-03 7.032156976682658054e-05 -9.234463126098326272e-03 1.612771243271060671e-03 5.824984991645787424e-02 6.122146266130236089e-03 2.579848866355668319e-02 3.738349327876567228e-03 2.024765994412609099e-02 3.128988117173266831e-03 1.182149798579501185e-02 1.646644250308225595e-03
3.000000000000000000e+00 1.628794054128191544e-03 4.696434116417641080e-05 -8.951546725094638307e-03 1.559327561050978138e-03 4.939304413323860471e-02 5.321724204376979649e-03 2.211817613354626760e-02 3.304776513100184023e-03 1.760798087362161479e-02 2.751735857718805214e-03 1.054183021318153175e-02 1.495221899652628573e-03
