#First column: pT in GeV
#Other columns: dN/(2pi dy pT dpT) at midrapidity
#pT [ GeV ]      0-5%		  5-10%            10-20%           20-30%           30-40%           40-50%           50-60%
0.8 4.204 3.091 2.142 1.241 0.7025 0.3509 0.147
1 1.897 1.402 0.9713 0.5592 0.3125 0.153 0.06215
1.2 0.9536 0.7078 0.4902 0.2806 0.1551 0.07459 0.02946
1.4 0.4997 0.3726 0.2581 0.147 0.08045 0.03806 0.01464
1.6 0.2727 0.2041 0.1415 0.08024 0.04354 0.0203 0.007632
1.8 0.1544 0.1159 0.08034 0.04541 0.02447 0.01127 0.004158
2 0.09012 0.06777 0.04702 0.02649 0.01421 0.006474 0.002354
2.2 0.05488 0.04128 0.02865 0.01611 0.008612 0.003901 0.001409
2.4 0.03419 0.0257 0.01784 0.01001 0.005344 0.002411 0.0008683
2.6 0.0218 0.01636 0.01135 0.006363 0.003395 0.001529 0.000551
2.8 0.01422 0.01065 0.007386 0.004136 0.002208 0.0009942 0.00036
3 0.009479 0.007084 0.004909 0.002747 0.001469 0.0006627 0.0002417
3.2 0.006534 0.004866 0.003368 0.001885 0.001011 0.0004585 0.0001693
3.4 0.004586 0.003403 0.002353 0.001317 0.0007087 0.0003234 0.000121
3.6 0.003277 0.002423 0.001673 0.0009367 0.0005061 0.0002326 8.822e-05
3.8 0.002383 0.001755 0.00121 0.0006783 0.000368 0.0001704 6.552e-05
4 0.001761 0.001293 0.0008903 0.0004995 0.0002722 0.000127 4.949e-05
