Pt	SignalExtraction	Acceptance	Material	BGEstimate	NonLinearity	EnergyScale	TimeOfFlight	
1.1	2.59437	2.76261	3.5	2.33142	5.22088	1.46674	0.132545	7.84058
1.3	0.890938	2.76261	3.5	2.07424	3.58749	1.66337	0.0162672	6.37302
1.5	0.95228	2.76261	3.5	2.75084	3.24929	1.83125	0.0337982	6.50142
1.7	0.345023	2.76261	3.5	2.10406	3.16222	1.97639	0.00722669	6.19144
1.9	1.08952	2.76261	3.5	2.04824	3.13581	2.10317	0.0188144	6.2866
2.1	0.621272	2.76261	3.5	1.62027	3.12669	2.2149	0.0108994	6.12987
2.3	0.442538	2.76261	3.5	1.90808	3.12321	2.31413	0.0175999	6.23125
2.5	1.52575	2.76261	3.5	1.45293	3.12176	2.40285	0.0196612	6.31192
2.7	1.83941	2.76261	3.5	1.04148	3.12111	2.48265	0.0244694	6.34473
2.9	1.41617	2.76261	3.5	0.721346	3.1208	2.55483	0.0163478	6.2189
3.1	0.894387	2.76261	3.5	1.94441	3.12064	2.62042	0.0318748	6.40849
3.3	1.07512	2.76261	3.5	1.48901	3.12056	2.6803	0.0135089	6.33855
3.5	0.78275	2.76261	3.5	1.53961	3.12052	2.73517	0.0210405	6.33122
3.7	1.47036	2.76261	3.5	0.794989	3.1205	2.78564	0.020324	6.33827
3.9	1.22976	2.76261	3.5	0.674762	3.12048	2.83223	0.014957	6.29355
4.25	1.35815	2.76261	3.5	0.675113	3.12047	2.87535	0.00863208	6.33935
4.75	0.454836	2.76261	3.5	0.776703	3.12046	2.9436	0.00120161	6.25253
5.25	1.03636	2.76261	3.5	0.190461	3.12046	3.02781	0.0361156	6.31653
5.75	1.30094	2.76261	3.5	0.558079	3.12046	3.09954	0.00785628	6.42109
6.5	1.0444	2.76261	3.5	1.17305	3.12046	3.16137	0.0823549	6.48746
7.5	1.78509	2.76261	3.5	1.08623	3.12046	3.23961	0.00946161	6.6694
9	1.94644	2.76261	3.5	0.887873	3.12046	3.32364	0.0722057	6.72667
11	2.25671	2.76261	3.5	2.95858	3.12046	3.41967	0.0714077	7.42727
14	3.69966	2.76261	3.5	1.49357	3.12046	3.51185	1.18469	7.69897
18	16.1895	2.76261	3.5	0.0921185	3.12046	3.60551	0.0996378	17.4567
