#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0791594854e-01  3.2085820429e-02  1.0053446158e-03  4.2108569492e-04  7.7108767774e-04  -2.5664637171e-03  4.4145741460e-03  8.9656225778e-04  1.2620010317e-03  4.7610993607e-04  5.8603473007e-04  4.9822694689e-05  2.8178803354e-04  3.1267910407e-04  2.8322895426e-04  
2.0380470310e-01  3.4560160621e-02  9.5050042394e-04  -7.8942619455e-05  6.6796307973e-04  1.7176763407e-03  2.6559377919e-03  5.1969214404e-04  9.8817524776e-04  -3.3773358847e-04  3.7430637886e-04  1.9648689583e-04  1.9752441009e-04  -1.5098224863e-04  2.1487339788e-04  
3.0321569063e-01  3.3849983044e-02  9.0624449010e-04  1.5044061100e-03  5.8184698392e-04  -7.0948987777e-04  2.2392545992e-03  1.0227298766e-03  7.4601349530e-04  -3.5155925876e-04  3.0520584848e-04  2.5551664588e-04  1.7565138907e-04  3.6684802964e-05  1.5911189781e-04  
4.0150666810e-01  3.3283814019e-02  8.8096211195e-04  3.5024944724e-04  4.8224630326e-04  4.2092853342e-03  2.5194295729e-03  5.0132961403e-04  6.7092880367e-04  1.7000232877e-04  2.8371022255e-04  -7.3662480006e-05  1.7039729889e-04  -1.7427158420e-04  1.4181271892e-04  
5.0154704853e-01  3.1807603998e-02  8.9366595558e-04  1.3775394820e-03  5.1175981928e-04  2.2869263881e-03  1.6622012509e-03  4.4832109232e-04  7.6021686470e-04  -1.2721478855e-04  2.4611102352e-04  2.0626859373e-04  2.8377766585e-04  1.2276384316e-04  1.5257267690e-04  
6.0070023113e-01  2.9434742139e-02  7.7305812576e-04  1.5684261129e-03  4.7566940570e-04  5.1419557806e-03  1.8490298091e-03  5.6591951694e-04  5.4925601694e-04  -3.9249433405e-04  2.4071774998e-04  -1.5946332580e-06  1.2775968726e-04  -1.3070292740e-04  1.2914899376e-04  
7.0053621157e-01  2.7422688284e-02  7.3584668759e-04  1.7364284736e-03  4.1969332594e-04  7.6655073679e-03  2.0508201894e-03  1.2037202789e-03  6.2539837950e-04  -2.0875037064e-04  1.6894051216e-04  -8.6145045456e-05  1.1291802897e-04  5.8772524654e-06  1.1235495958e-04  
8.0047221790e-01  2.4844299628e-02  6.8281194094e-04  2.3956389602e-03  5.1128968492e-04  6.3305273085e-03  1.9547295932e-03  7.8857264546e-04  5.2944875761e-04  1.5139905715e-06  1.9428250397e-04  1.9535489157e-04  1.4296678308e-04  -4.2502272809e-05  1.1133975697e-04  
8.9983671274e-01  2.2092741019e-02  6.3752831411e-04  2.1382257760e-03  4.7394810172e-04  1.0176746317e-02  2.5597778259e-03  6.4992486477e-04  4.9567197347e-04  1.7229499931e-04  2.5882285043e-04  1.2274461070e-04  1.3548764800e-04  -1.4628543435e-04  1.1637880180e-04  
9.9971110501e-01  1.9510986608e-02  5.7289866244e-04  1.6499397855e-03  4.8260820887e-04  1.1754534514e-02  2.4809003016e-03  1.3805422545e-03  5.4614219028e-04  1.1495913145e-04  2.1441062583e-04  6.2297287781e-05  1.2782613424e-04  -4.1001908533e-05  1.2323410927e-04  
1.0992954420e+00  1.6960135715e-02  5.0659416655e-04  2.4750437987e-03  5.6388810010e-04  1.2816292013e-02  2.2669651692e-03  1.5678917666e-03  5.9359246603e-04  2.0774092539e-04  2.2032740904e-04  -2.9445616522e-04  1.6590811553e-04  1.7690535138e-04  1.2667783812e-04  
1.1995500491e+00  1.4431026950e-02  4.6143896866e-04  2.0378441786e-03  5.7322038611e-04  1.4081572317e-02  2.6271926817e-03  2.3518595404e-03  8.2688235304e-04  3.0591057938e-04  2.1924080372e-04  -7.6386736233e-05  1.2718708338e-04  1.4446849142e-04  1.3139374489e-04  
1.2990675261e+00  1.2299351538e-02  4.1012378630e-04  1.6392914942e-03  4.6317611896e-04  1.4666073547e-02  2.7870865235e-03  2.0160368404e-03  7.1889200625e-04  5.3403679894e-04  2.6572391136e-04  1.6913754945e-04  1.4589845399e-04  9.3110800427e-05  1.2612683968e-04  
1.3990993442e+00  1.0566859872e-02  3.7355757073e-04  1.7653653103e-03  5.1939230122e-04  1.8958968101e-02  3.0795502822e-03  9.4759938473e-04  6.6404095980e-04  1.6410825487e-04  1.8313006369e-04  9.1591185762e-05  1.3018142328e-04  -1.4061917418e-04  1.3955973865e-04  
1.4987549896e+00  8.5937860665e-03  3.1668160266e-04  -2.2074959483e-05  4.1642151186e-04  2.2698087802e-02  4.0283310962e-03  1.7629626464e-03  7.4856452033e-04  6.6363013357e-04  3.5497235118e-04  9.7757361550e-05  1.3945834617e-04  3.5552903929e-05  1.6111441529e-04  
1.5990003181e+00  7.0951850361e-03  2.7627490667e-04  7.3482765832e-04  3.9685586344e-04  1.9233408365e-02  3.4766465009e-03  2.5546313767e-03  8.4589075107e-04  1.4504242091e-04  2.5309885207e-04  1.5272794149e-04  1.6584708717e-04  3.4329556501e-08  1.5127569142e-04  
1.6990246692e+00  5.8721677260e-03  2.3850549488e-04  6.6260291438e-04  4.8308191268e-04  3.2111236145e-02  5.4519532395e-03  2.4599397515e-03  9.8059447679e-04  9.5551222609e-04  4.8829827381e-04  1.4365296856e-04  2.1018178989e-04  5.2386626915e-05  1.4528762053e-04  
1.7987644145e+00  4.7746175544e-03  2.0326394409e-04  -3.4853917014e-04  6.3864085620e-04  2.9101787264e-02  5.2982872954e-03  1.1384878653e-03  9.5677519255e-04  5.4826130908e-06  2.6333959539e-04  1.1101066753e-04  2.3436528136e-04  1.8472809875e-04  1.5378940313e-04  
1.8988443637e+00  3.8209314588e-03  1.7610410771e-04  7.2178469441e-04  5.5960744403e-04  2.9585234581e-02  5.3761128131e-03  4.7235876404e-03  1.2699567541e-03  4.2091326716e-04  2.8347876443e-04  -6.9990431709e-05  1.8741514099e-04  4.6428124605e-05  1.7514852305e-04  
1.9990023899e+00  3.1135683884e-03  1.4277582258e-04  -1.4469437615e-03  7.4408457917e-04  3.0874640896e-02  5.7952496170e-03  3.7589286353e-03  1.8310783183e-03  2.1263133722e-05  3.3155455168e-04  6.4880809946e-04  2.8436068089e-04  9.1017973149e-05  1.9611087050e-04  
2.0986755652e+00  2.4163019092e-03  1.2273666002e-04  -1.4552372646e-03  7.3847765506e-04  3.6037966104e-02  9.0194240230e-03  2.5878467557e-03  1.2502122340e-03  -1.1419643850e-04  4.4047315292e-04  1.1856249173e-04  3.0234490856e-04  -2.8817555308e-04  1.9781455682e-04  
2.1991457157e+00  1.9120535725e-03  1.0286892543e-04  -1.1479921400e-03  7.7311811110e-04  3.5107688974e-02  6.8572473493e-03  4.4371887148e-04  1.1804771670e-03  9.7646911067e-04  4.4847918900e-04  -4.5281712650e-04  4.0974161566e-04  -1.2221235206e-05  2.4117396768e-04  
2.2984293172e+00  1.5715870274e-03  8.4867042081e-05  -2.3449446687e-03  1.0215027804e-03  2.9952986883e-02  9.3505022569e-03  3.4203024347e-03  1.5469057812e-03  8.8372055577e-04  6.8141585235e-04  -2.5261119454e-04  2.5784172062e-04  3.4633295358e-04  2.5039201405e-04  
2.3980597967e+00  1.1586219478e-03  6.8552260920e-05  -2.3925997541e-03  1.1119313356e-03  3.3905864353e-02  8.3395584558e-03  3.1545416214e-03  1.6340197333e-03  3.0106227134e-05  5.1594665374e-04  2.5586216904e-04  3.5989064257e-04  -2.3162800971e-04  3.0358082370e-04  
2.4977074529e+00  9.5201326918e-04  5.7155582842e-05  -3.0871081009e-03  1.0852395493e-03  3.0941306189e-02  7.4152212262e-03  4.1028514303e-03  1.6447172455e-03  1.1486183042e-03  7.3682395019e-04  -8.1838431338e-04  5.8652872501e-04  2.0143715160e-04  3.5642585049e-04  
