#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0835821021e-01  6.9942155738e-04  9.0639792592e-05  -3.1041694370e-04  1.6405776651e-03  -3.6273285249e-03  7.1284306628e-03  9.9460791520e-05  1.9706485736e-03  1.0313357960e-03  5.8321626899e-04  -5.2858403502e-04  4.9128700579e-04  7.3994464085e-04  5.0643660770e-04  
2.1438141610e-01  6.1865959130e-04  6.4892525815e-05  9.3875931222e-04  1.0302732385e-03  3.6444916391e-03  5.1915530640e-03  -9.5297355042e-04  1.5389051332e-03  5.7840048725e-04  5.4998043252e-04  2.4889756903e-04  4.0143253524e-04  4.7485219678e-04  3.4683498187e-04  
3.0317609848e-01  6.5619842686e-04  5.8925631229e-05  -5.5953022239e-04  1.0628618006e-03  -4.2659639460e-03  4.5133323360e-03  1.9316927119e-03  1.6382931243e-03  3.2394451657e-06  5.6998947530e-04  -2.7414914533e-04  3.1968436488e-04  -8.9482476837e-05  2.6447918430e-04  
3.9744437545e-01  5.9930668546e-04  4.9733836818e-05  2.0875658139e-04  7.4826864319e-04  2.3953174700e-03  4.1781969904e-03  1.5356821221e-03  1.2808265248e-03  5.2111210752e-05  4.8724589887e-04  -1.0588623418e-04  2.8725189772e-04  1.0615392890e-04  2.4331798051e-04  
5.0064783276e-01  6.3525535070e-04  4.4670967891e-05  2.8607544570e-04  7.4301703376e-04  -3.4851479134e-03  4.5027222301e-03  4.6817314192e-04  1.0659166048e-03  9.1368774324e-04  4.9242134456e-04  -2.6328417340e-04  2.5756983928e-04  -5.1582919699e-05  1.9622708891e-04  
5.9942826076e-01  6.4571612012e-04  4.2292348945e-05  -1.0203724727e-04  6.2098742630e-04  2.5086819390e-03  3.7695806328e-03  6.8152132452e-04  1.0292041175e-03  1.9399336386e-04  3.8543798948e-04  -2.3484050844e-04  2.4802265808e-04  -2.5951409402e-04  1.9954651801e-04  
6.9975208601e-01  5.9375459491e-04  3.6935500040e-05  -1.0041710027e-03  6.5776158902e-04  -2.1254267185e-03  3.3647363328e-03  -7.2856417394e-04  8.0574364157e-04  3.6024568213e-04  3.6986771481e-04  9.4884626459e-05  2.1745881197e-04  -1.1833383121e-04  1.8282885323e-04  
8.0110895918e-01  5.3552590451e-04  3.1428397272e-05  -1.6688748221e-04  5.6267296021e-04  4.2937206795e-03  3.1546373047e-03  -7.0096109959e-04  9.5150701345e-04  -3.0125819154e-04  3.9866002849e-04  -1.1644882346e-04  2.1355377751e-04  1.1815774234e-04  1.8372494782e-04  
9.0238681228e-01  5.6498470051e-04  3.2326485570e-05  9.7395564444e-04  5.2168310557e-04  2.8521298782e-03  3.2296399910e-03  6.7691977135e-04  8.2398569962e-04  7.1606540429e-05  4.1950023223e-04  5.2354992033e-05  1.9791209156e-04  -2.4948945890e-04  1.8312812881e-04  
9.9856448307e-01  5.2237097450e-04  2.9576947871e-05  4.4951388497e-04  4.6781994378e-04  2.8732242283e-05  2.8636127421e-03  -2.2412946620e-04  8.9032297410e-04  -1.8087992164e-04  3.1290281324e-04  8.6590479694e-05  2.2082685282e-04  -1.3131117924e-06  1.8202711208e-04  
1.0998825548e+00  4.9833514790e-04  2.8059979036e-05  9.2426755760e-04  6.3370260203e-04  -1.4715812428e-03  2.5819815159e-03  -6.2137661515e-05  8.1972159661e-04  3.4139760126e-04  3.4332758985e-04  -3.8131720225e-06  1.9266187185e-04  -6.1131125240e-05  1.5087662850e-04  
1.2011862188e+00  4.3940710608e-04  2.6116899111e-05  4.8337641722e-04  6.4785385748e-04  3.3777724627e-03  2.8929190802e-03  -2.4766991971e-04  7.6860233788e-04  5.0866974594e-05  3.3689523998e-04  -5.3011514167e-04  2.2377623387e-04  1.5627905695e-04  1.4319527409e-04  
1.3011213118e+00  3.9525613178e-04  2.2750999746e-05  4.2126953999e-04  6.1909580970e-04  5.4085095788e-03  3.2456981519e-03  -5.1746359311e-04  8.0485023160e-04  8.2217825297e-05  3.3937969898e-04  -1.0521924856e-04  3.0083250527e-04  -4.5008085592e-05  1.6584180672e-04  
