#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0641666627e-01  5.0234288546e-03  2.7968512373e-04  5.5066193118e-04  2.1477611369e-03  -9.0581431797e-04  6.8636831869e-03  1.9396877721e-03  2.0856595722e-03  2.1021759805e-05  6.6729558946e-04  -2.7522323705e-04  4.3950053541e-04  -5.7836988207e-04  4.3277815102e-04  
2.0302834026e-01  5.6726463038e-03  2.3429008267e-04  -1.5241637423e-03  1.2929571607e-03  6.7136086999e-03  5.2448666672e-03  -5.5981349263e-04  8.9102154011e-04  -4.5536701027e-05  4.9452769854e-04  -3.3223912172e-04  2.7100629443e-04  -1.6071920892e-05  2.6704916970e-04  
3.0272944229e-01  5.7490901363e-03  2.0356446869e-04  3.9720881620e-05  9.5842186087e-04  2.6687628619e-04  2.9110447903e-03  2.9534872236e-04  7.2948425018e-04  -1.1278344310e-04  2.8533069922e-04  -3.5745746744e-05  1.8791852115e-04  3.8055342733e-05  2.2216556268e-04  
4.0309486252e-01  5.5400799513e-03  1.9198288968e-04  -1.4498438308e-04  7.4127602773e-04  3.3067743963e-03  3.9681819981e-03  -1.1647645132e-03  8.6574040817e-04  4.0244564906e-04  3.6071632542e-04  2.7834854250e-05  1.7874503423e-04  2.0059801147e-04  2.1091604688e-04  
5.0197598447e-01  5.1758151953e-03  1.6718146902e-04  7.1851966526e-04  8.4704930212e-04  2.8516371828e-03  3.3966917575e-03  -1.3451754529e-04  7.6798796049e-04  -3.4086421926e-05  2.6315049528e-04  4.3883595408e-07  1.5999433425e-04  -1.1383162449e-04  1.9424399701e-04  
6.0044065495e-01  4.8993264338e-03  1.5833334900e-04  1.2557091014e-03  8.3129371365e-04  4.7995163207e-03  3.4722940353e-03  1.6846804370e-03  8.6141865878e-04  7.6820693719e-06  1.9121239702e-04  -1.4349626032e-04  1.9388972821e-04  1.2042382546e-04  1.8228541834e-04  
7.0107912590e-01  4.7142147945e-03  1.4930066170e-04  1.8208167525e-03  1.0243971213e-03  7.4298059683e-03  4.0879122997e-03  -1.1753328141e-03  7.3465951143e-04  2.0129468810e-04  2.6432443747e-04  -1.1816970899e-04  1.5133241146e-04  1.4603737326e-04  1.6990086303e-04  
8.0006222513e-01  4.5553882531e-03  1.4582090231e-04  2.8816216740e-04  5.5267788077e-04  2.6028765609e-03  2.5586921958e-03  3.1656406217e-04  5.9668454673e-04  6.7202861912e-05  3.0348554752e-04  -1.4849389183e-05  1.3255629174e-04  1.8739778201e-04  1.6389985801e-04  
9.0050262610e-01  4.0337626250e-03  1.3282152852e-04  9.1041702057e-04  7.5030722407e-04  6.0980020389e-03  3.8958239940e-03  3.6402097850e-04  4.6382498560e-04  3.8744942048e-05  3.8166319027e-04  -6.5388250727e-05  1.3513329749e-04  -1.1605060123e-04  1.4633612109e-04  
1.0002158650e+00  3.7570837832e-03  1.2339955857e-04  1.0252860274e-03  6.9984671054e-04  1.0508793977e-02  5.6022733024e-03  -2.0609576011e-04  4.9485971182e-04  3.4246800034e-04  2.7709471664e-04  6.4395956936e-05  1.3133809504e-04  1.3642709070e-04  1.5261621041e-04  
