#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.1065459363e-01  4.6475809091e-04  7.6910362230e-05  -2.6400542189e-03  3.2142809755e-03  -1.1900917911e-03  1.7001780628e-02  nan  nan  -6.6688778957e-05  1.0709191395e-03  -7.2026407215e-04  1.3225623569e-03  1.5607375143e-03  3.6636998737e-03  
2.0263276118e-01  6.3449287972e-04  6.5999750965e-05  2.6477122521e-03  2.4159468892e-03  -3.9848738444e-03  9.8082082295e-03  nan  nan  -8.7803245438e-04  1.3204942435e-03  -1.8721911403e-04  7.1845951854e-04  -4.0665134077e-04  1.5963835962e-03  
3.0094605334e-01  6.4307288066e-04  5.5117824567e-05  -1.5507890504e-03  1.7323557084e-03  -6.0629396605e-03  8.3094281629e-03  nan  nan  -6.0562026342e-04  1.0237040930e-03  -1.8454291396e-04  5.5624253104e-04  8.2480178952e-04  1.9653105093e-03  
4.0636109515e-01  6.4943441505e-04  4.6902574429e-05  -1.1495489087e-03  1.3977437178e-03  2.5580552465e-03  7.4989389858e-03  nan  nan  7.4999510059e-04  8.5107655867e-04  1.4507573948e-03  1.1713542577e-03  6.0004585768e-04  1.5088197355e-03  
5.0170283376e-01  6.0964174149e-04  4.4089229522e-05  8.9815382444e-04  1.1636069733e-03  -8.7831263234e-03  8.8271657902e-03  nan  nan  -4.5692972082e-04  7.7861995561e-04  3.2368140160e-04  5.1305582340e-04  7.7448447031e-05  9.5827336878e-04  
6.0297976476e-01  6.1049059256e-04  3.9273197538e-05  7.2331383668e-04  1.0552909998e-03  -4.6358047538e-03  6.2950760358e-03  nan  nan  2.0971600388e-04  6.8679936437e-04  8.9542687141e-04  7.3501200846e-04  -1.8191142116e-03  3.7123622441e-03  
6.9867574456e-01  5.9864103341e-04  3.7091422555e-05  2.6155242229e-03  1.5283956785e-03  6.3101424070e-03  7.3489007667e-03  nan  nan  2.0729107470e-04  4.9918133502e-04  6.7633335157e-04  5.5110773126e-04  -3.1170051287e-04  1.0109519934e-03  
8.0175594881e-01  5.4859769682e-04  3.2176777815e-05  7.6629788348e-04  9.1530092709e-04  9.7257393624e-04  5.0664598124e-03  nan  nan  5.4376955179e-04  5.6019221985e-04  2.3501013155e-05  4.7265079941e-04  -7.2771886322e-04  1.6459427014e-03  
9.0080430924e-01  5.4987432292e-04  3.0869747133e-05  -7.8345093410e-05  9.8738443808e-04  5.7839970815e-03  6.5477458819e-03  nan  nan  -1.3282293902e-04  5.0991674758e-04  9.1911362080e-04  7.1101893515e-04  3.7403589882e-04  9.9126303824e-04  
9.9900429535e-01  5.7168645845e-04  3.1745738434e-05  1.8242011806e-03  1.2709215708e-03  6.6876981703e-03  7.1093731349e-03  nan  nan  7.3829162638e-04  6.7645883815e-04  -2.8870258865e-05  2.7423898789e-04  -1.4861182655e-04  7.3381864721e-04  
1.0973252795e+00  4.6249675858e-04  2.6562098600e-05  2.3341180170e-04  1.1056492626e-03  2.8125044001e-03  5.4922123654e-03  nan  nan  3.5106613978e-04  6.9111337367e-04  -1.2225783013e-04  3.2691574921e-04  -4.3770289025e-04  1.0471870826e-03  
1.1989118954e+00  4.4024065674e-04  2.4970366817e-05  1.1211612825e-04  1.0030565983e-03  1.5952439550e-03  5.4936393616e-03  nan  nan  -5.0780675246e-04  5.9898943370e-04  -5.8423144049e-04  5.8673935181e-04  -1.6258740861e-04  7.1010381870e-04  
1.3005403223e+00  4.0687944045e-04  2.2294335195e-05  -3.9429664549e-04  8.3557194036e-04  4.9133901057e-03  5.7549898698e-03  nan  nan  -1.1513584002e-03  9.9743111738e-04  -5.9165851568e-04  5.5708349058e-04  1.6203694468e-05  5.8989571355e-04  
1.3968140534e+00  3.8949354723e-04  2.1690213610e-05  1.9410409456e-03  1.2957358795e-03  2.2419816488e-03  5.3682522536e-03  nan  nan  -1.6987952840e-04  5.1710710616e-04  1.1065342665e-04  2.9021370031e-04  -1.4787171373e-04  6.5691207118e-04  
1.4999326996e+00  3.2301602128e-04  1.9183444686e-05  6.2729816376e-04  8.7478476704e-04  3.6674969529e-03  5.5936267078e-03  nan  nan  -1.0525661356e-03  7.9569169223e-04  -6.4384415221e-04  5.2756570524e-04  -8.7846102088e-04  1.8823225559e-03  
1.5988894808e+00  2.7085966873e-04  1.7467182741e-05  1.1204708414e-03  1.1080314434e-03  8.0530011400e-03  7.6751765587e-03  nan  nan  6.8339960412e-04  8.3831776008e-04  2.5699935596e-04  3.6076993013e-04  5.5222877326e-04  1.2850157247e-03  
1.7007242596e+00  2.4588802730e-04  1.6006675931e-05  6.9746572625e-04  1.0385450383e-03  1.3704518524e-02  1.2041902581e-02  nan  nan  9.9899366014e-04  8.6601625436e-04  2.0326191796e-05  3.8042999859e-04  -5.3158486464e-04  1.2410741091e-03  
1.7983686154e+00  2.3931020297e-04  1.5051340113e-05  1.7449466186e-03  1.3272001047e-03  1.2510163897e-02  1.0825481586e-02  nan  nan  2.4515591274e-04  6.1128520029e-04  3.3495252174e-04  4.6070981156e-04  6.3367333525e-04  1.3948449202e-03  
1.8988292561e+00  2.2664910867e-04  1.5186740877e-05  1.6651079983e-03  1.3072569834e-03  2.0876335414e-03  4.7862258421e-03  nan  nan  3.3437442705e-04  8.1850501022e-04  2.3280295068e-04  4.1254904994e-04  -6.2256393655e-04  1.3397584428e-03  
1.9989172745e+00  1.5910574121e-04  1.2356407506e-05  1.7861108959e-04  1.2431386589e-03  8.5469477040e-03  9.9079782661e-03  nan  nan  1.1564783724e-03  1.0952523018e-03  -1.0608835101e-04  4.5484376833e-04  2.9359218502e-05  6.4085085640e-04  
2.0992299961e+00  1.3280670652e-04  1.0822967249e-05  5.8178806783e-04  1.3097906899e-03  8.1261800197e-03  8.4610365188e-03  nan  nan  1.9675654985e-04  6.2816884697e-04  -2.8795249132e-04  4.5196374663e-04  2.2476171663e-04  8.7505716353e-04  
2.2002961650e+00  1.4823430133e-04  1.0937756500e-05  1.7081939828e-03  1.1994464926e-03  2.0411584938e-02  1.6942547893e-02  nan  nan  6.7015362439e-04  8.4810064710e-04  -8.2524158938e-05  4.6179586199e-04  7.1922156974e-04  1.6159682646e-03  
2.3019393872e+00  1.1052913602e-04  8.3949501301e-06  -4.8175784061e-04  1.2619623359e-03  1.6301007259e-02  1.4152786248e-02  nan  nan  5.1607492737e-04  6.9226410872e-04  -3.7219651398e-04  5.1825829386e-04  1.2460927821e-03  2.6282517196e-03  
2.4006601326e+00  8.3434149838e-05  7.7038968151e-06  -1.7627535324e-03  1.6155954174e-03  3.0399101566e-02  2.5287581372e-02  nan  nan  2.5481146631e-03  1.7422769422e-03  2.9481427659e-04  4.6807384846e-04  -1.3065499688e-04  9.2831243311e-04  
2.4992010705e+00  7.3646230000e-05  7.0718023039e-06  -6.1914237306e-04  1.5097803913e-03  5.5112441644e-03  1.0477884252e-02  nan  nan  1.1042120607e-03  1.0380514229e-03  -2.2832728307e-04  4.6556455784e-04  1.7612319073e-03  3.6370770591e-03  
2.6001612046e+00  5.6733429035e-05  6.2196772134e-06  -3.2195842006e-03  2.3068861933e-03  1.5023859041e-02  1.5505071636e-02  nan  nan  1.6661201721e-03  1.2266510898e-03  -6.3827082371e-04  7.0057357931e-04  4.4384283390e-04  1.3611160993e-03  
2.7005796898e+00  5.1617033021e-05  5.8217599969e-06  -2.4483018457e-03  1.8413901979e-03  1.3425302915e-02  1.3785297563e-02  nan  nan  -1.4974113687e-03  1.5888982476e-03  4.6445200412e-04  8.4136088001e-04  -9.9473360513e-04  2.3242107496e-03  
