#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0989115112e-01  5.3695337506e-03  2.6433989942e-04  -3.5249956859e-03  2.6155017057e-03  -9.9067870116e-03  1.3496528854e-02  6.3420168593e-03  4.4777824293e-03  -6.6638355382e-04  9.8574762429e-04  7.4385667932e-04  1.1525927806e-03  -3.5208689369e-04  9.7600391502e-04  
2.0381125234e-01  5.5645323424e-03  2.4431327595e-04  2.1748421102e-03  1.8769526694e-03  3.6694395547e-03  8.6662971934e-03  -6.6952027255e-04  2.1359007021e-03  1.6525302291e-03  1.4017488543e-03  1.6645341629e-03  1.3069145460e-03  -1.7305967594e-04  7.1695554211e-04  
3.0249344946e-01  5.9847483870e-03  2.2570468021e-04  5.9683078913e-04  1.2523039620e-03  -2.5247029896e-03  7.0322954940e-03  -3.4817045967e-04  1.9477784202e-03  -1.3936414924e-03  9.9274197802e-04  3.4251866612e-04  6.7091702457e-04  1.0955336692e-03  7.5659477791e-04  
4.0148181741e-01  5.5759723218e-03  1.7911698319e-04  1.8376283629e-04  1.1958997234e-03  4.1074866974e-04  6.6743390037e-03  3.3734132240e-04  2.0374059201e-03  1.0594528536e-03  6.8025343523e-04  2.3303178841e-04  5.3341686424e-04  3.5506070915e-04  5.2991722162e-04  
5.0152437289e-01  5.4104718688e-03  1.7642062005e-04  6.5474422605e-04  1.1366140404e-03  1.2773057053e-02  8.5975509836e-03  1.9132207041e-03  1.7557744207e-03  2.6022945914e-04  7.9731927198e-04  -1.9071851428e-04  4.5556114976e-04  -2.2507375045e-04  4.4459649853e-04  
6.0080422397e-01  4.8914226163e-03  1.5757988738e-04  1.0761714367e-03  1.0458922973e-03  4.1228274471e-04  7.1413230573e-03  -2.1629459050e-03  1.5363972714e-03  -1.2617756567e-03  6.5132811079e-04  2.0876875740e-04  4.3959785515e-04  -5.3451332937e-05  4.1508022724e-04  
7.0117574729e-01  4.8418592101e-03  1.5297031381e-04  1.2024893542e-03  1.0263354629e-03  1.2103102015e-02  7.9704205406e-03  3.4181347507e-03  1.5247588126e-03  2.0739633600e-04  4.5641704662e-04  5.1993441581e-04  4.3310782654e-04  -8.2385180684e-05  3.9159869347e-04  
7.9990043710e-01  4.5970860442e-03  1.4583729739e-04  1.8473933703e-03  1.0357797133e-03  5.3683804259e-04  6.2692723092e-03  5.7381541448e-04  1.3400102705e-03  7.3504395693e-04  6.3335948553e-04  2.5687034583e-04  4.2801203821e-04  1.3893685533e-04  3.6248957234e-04  
9.0128720670e-01  4.2164475929e-03  1.3400630880e-04  1.9087495009e-03  9.9334932548e-04  2.2005564184e-02  1.1249394994e-02  -5.9551726475e-05  1.6692350331e-03  -5.9710630136e-04  5.6313610755e-04  -5.3073316608e-04  3.9939303458e-04  1.1724438887e-04  3.7002978559e-04  
1.0002287557e+00  3.7357678526e-03  1.2580086488e-04  2.7488908662e-03  1.1359174614e-03  4.1535987410e-03  6.9324425403e-03  -3.5233698534e-04  1.3330696845e-03  -4.4823655765e-04  6.6023901512e-04  2.4821581800e-04  4.3010349166e-04  -5.8182716943e-05  3.3027674201e-04  
1.0992378295e+00  3.3734300313e-03  1.1516605634e-04  2.6157274234e-03  1.2425471942e-03  1.2847604320e-02  7.9227307287e-03  2.4938740766e-03  1.2630983340e-03  -5.2918394134e-04  6.0398647301e-04  2.5465896130e-04  3.7815183103e-04  -3.7470562533e-04  3.8021887809e-04  
1.1992486312e+00  2.8675318045e-03  9.8692605870e-05  1.9578289566e-03  1.2008870344e-03  1.2809493975e-02  7.8114665231e-03  2.4751218221e-03  1.5094969471e-03  7.7339001224e-05  5.6907463301e-04  7.1355265135e-05  3.6682886301e-04  -1.3295174691e-04  3.8792880167e-04  
