#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0852846826e-01  9.6583920056e-02  2.4593657554e-03  5.2095275405e-04  6.4979451615e-04  -1.4320825259e-03  2.6996109220e-03  8.4029735798e-04  1.1117678247e-03  -2.5912103642e-04  2.7995188421e-04  -4.6375066248e-04  2.4942926825e-04  3.1261984897e-04  2.1703952461e-04  
2.0380421430e-01  1.0174517420e-01  2.4571777285e-03  8.3598189295e-04  6.3598759166e-04  1.5424791503e-03  1.8701294303e-03  -3.9493805934e-06  6.6883629369e-04  2.7033890115e-04  2.9251927678e-04  3.9192965891e-04  1.8468996269e-04  -4.1778296833e-05  1.6236072362e-04  
3.0235667269e-01  9.9566337699e-02  2.4332772546e-03  5.5163556795e-04  4.6444737258e-04  -1.3260642884e-03  1.7575224182e-03  1.2126910999e-04  5.3162598431e-04  2.4801780725e-04  2.1669530754e-04  1.8739707415e-04  1.2935944275e-04  1.4664674188e-05  1.2173196447e-04  
4.0161480102e-01  9.5576883520e-02  2.2917238267e-03  1.1036669148e-03  5.5635212820e-04  4.2167830299e-03  1.4562470759e-03  -2.3448183821e-04  4.4897008471e-04  2.9888036683e-05  1.8281938297e-04  4.4717693905e-04  1.5143583336e-04  1.7086891395e-04  1.2140684806e-04  
5.0111663650e-01  8.7526410545e-02  2.1872612000e-03  1.7905387798e-03  7.6190163557e-04  4.3425983495e-03  1.4246064507e-03  -8.9361202797e-04  5.7195290478e-04  1.3894472766e-04  1.6953896826e-04  -5.2943336550e-05  1.0628743319e-04  4.9930708979e-05  1.0221630815e-04  
6.0085403117e-01  8.2539313377e-02  2.1032945030e-03  1.7740469238e-03  7.6322572253e-04  3.9823046170e-03  1.3410680933e-03  -4.1505742996e-05  5.4975934959e-04  6.9056429449e-05  1.7753513667e-04  -4.8855972645e-05  9.6849534065e-05  -9.6192388166e-05  1.0330050832e-04  
7.0039735911e-01  7.3592054231e-02  1.9243873705e-03  2.6321509003e-03  1.0498399389e-03  8.0530683997e-03  1.7290275355e-03  1.7282448254e-04  4.9887221675e-04  5.2126123008e-05  1.5300912368e-04  -4.3319158746e-06  9.0509298804e-05  -3.9275283830e-05  9.5596179457e-05  
8.0002021195e-01  6.4496152584e-02  1.7456585996e-03  2.7137016015e-03  1.0867119374e-03  1.0588412160e-02  1.9889846505e-03  2.1649753495e-04  4.5776925044e-04  1.9235484192e-04  1.8412417213e-04  -2.3421355087e-05  1.1295210872e-04  -2.3358357921e-04  1.0956129510e-04  
8.9970197715e-01  5.7099387268e-02  1.6349319000e-03  2.2310133780e-03  9.1531085733e-04  1.3986737563e-02  2.3891058898e-03  1.3146102477e-03  5.9035392839e-04  4.4043276489e-04  1.8231195356e-04  1.2228227375e-04  9.6797643326e-05  -5.2038349248e-05  8.6889967237e-05  
9.9947399073e-01  4.8582371384e-02  1.4458026443e-03  2.4437379369e-03  9.9489676720e-04  1.4474123051e-02  2.6916246278e-03  1.0217289251e-03  4.9314625653e-04  -1.3568756204e-04  1.7142919825e-04  -1.6316044670e-06  8.5662399066e-05  -6.8556869836e-05  9.1495271991e-05  
1.0994041691e+00  4.1058544369e-02  1.2825349424e-03  1.9485139459e-03  8.1426903818e-04  1.7444111121e-02  2.9380790790e-03  1.0168562004e-03  5.6057831024e-04  2.4451160741e-04  1.6564361635e-04  3.8818319554e-05  8.8632960484e-05  -1.5551998745e-05  1.1265511889e-04  
1.1990452412e+00  3.4372410947e-02  1.1284267819e-03  2.0289321429e-03  8.4992053837e-04  1.8793948359e-02  3.3618520926e-03  1.1770360416e-03  6.0367067670e-04  -5.9584443115e-06  1.6274364194e-04  -1.8102294293e-05  1.0997245863e-04  1.5036609883e-04  1.0860444095e-04  
1.2992131473e+00  2.8059066764e-02  9.7015191123e-04  1.4370634883e-03  7.1084008171e-04  2.2096471092e-02  3.9642995628e-03  2.4765275754e-03  9.0865432908e-04  4.5431732636e-04  1.7900790213e-04  2.5435215267e-05  1.4717229603e-04  1.7924942518e-05  1.0377506854e-04  
1.3988117408e+00  2.2697108350e-02  8.1829281190e-04  9.0999666606e-04  5.1561864309e-04  2.3621832202e-02  4.1647782732e-03  2.0572955380e-03  7.9346483203e-04  6.5741590045e-04  3.1120368812e-04  2.4726491304e-04  1.6428187077e-04  9.0579698853e-05  1.2305741384e-04  
1.4987611419e+00  1.8620541081e-02  6.9692534068e-04  2.1641289546e-04  4.0392658407e-04  2.5878857343e-02  4.4697547759e-03  2.8407257310e-03  9.9160441466e-04  1.6559051609e-04  2.6810425303e-04  2.4028301357e-04  1.8655853580e-04  -1.3703382274e-04  1.3080662201e-04  
1.5986304409e+00  1.4795567162e-02  5.8031977302e-04  3.2047186925e-04  4.4567208392e-04  2.7234360717e-02  4.6752469995e-03  2.7675978015e-03  1.1163347344e-03  5.3412065968e-04  2.5906285227e-04  -1.0130795394e-04  2.0720057835e-04  1.4987596712e-04  1.5434424673e-04  
1.6984779433e+00  1.1751875358e-02  5.0105132756e-04  -1.1273808359e-03  6.4341260454e-04  2.7262261120e-02  5.0052158621e-03  3.0890870155e-03  1.2241721396e-03  -1.5533966675e-04  2.5177270686e-04  1.1574788568e-04  1.5724992338e-04  -2.3374274838e-04  1.4032347006e-04  
1.7982382094e+00  9.1170252546e-03  3.9749582198e-04  -9.0517623593e-04  5.5502530624e-04  3.1550360602e-02  5.9663695577e-03  4.2153938556e-03  1.5311503528e-03  7.9958926931e-04  4.4797416224e-04  4.3833481932e-06  1.5613786047e-04  -1.4462740545e-04  1.5002749888e-04  
1.8986828436e+00  7.2845042601e-03  3.4326267563e-04  -8.6564095912e-04  5.7103700419e-04  3.7668334734e-02  7.3570948988e-03  3.6108814303e-03  1.4315692562e-03  3.5297175924e-04  3.2339243013e-04  1.2539928444e-04  1.7974587559e-04  -7.4601964790e-06  1.5485533594e-04  
1.9981649649e+00  5.8403973527e-03  2.8035469827e-04  -2.7316083363e-03  1.3314881728e-03  3.3568827323e-02  6.3359576761e-03  3.2602917857e-03  1.3454452265e-03  1.1978257249e-03  4.1474328771e-04  2.2689317960e-04  1.8212324299e-04  3.2612909959e-04  2.1111337669e-04  
2.0976362037e+00  4.4537279517e-03  2.2814855892e-04  -2.7100694473e-03  1.1966660044e-03  3.5045817507e-02  6.2802698335e-03  4.0773580524e-03  1.7011303582e-03  5.8646302246e-04  2.9740741716e-04  3.1763007546e-04  2.8102942454e-04  -4.2735721053e-05  2.0025815055e-04  
2.1981578686e+00  3.5592369356e-03  1.9127527424e-04  -2.8152590319e-03  1.3162124090e-03  3.9665454128e-02  7.6578524020e-03  4.2182020648e-03  1.6964055894e-03  3.6452445806e-04  3.3157973524e-04  2.9005752166e-04  2.1157703301e-04  -2.3311478333e-04  2.1374554338e-04  
2.2976679934e+00  2.7271343048e-03  1.5395552936e-04  -3.6796417620e-03  1.6203389380e-03  4.2311098188e-02  9.5482062448e-03  4.0595841354e-03  1.7450313204e-03  1.3524716105e-03  4.6598586695e-04  -1.6305366524e-04  2.4870737537e-04  2.6110377797e-04  2.3770957410e-04  
2.3987366002e+00  2.1089658397e-03  1.2609125064e-04  -3.5337669177e-03  1.8211423244e-03  4.1782525358e-02  8.4822359169e-03  7.0574446990e-03  2.6644127535e-03  -4.1655419726e-04  4.4993174776e-04  1.7784374116e-04  2.4478033305e-04  1.2288594849e-04  2.1797275015e-04  
2.4992973511e+00  1.6228621222e-03  1.0061545811e-04  -4.9331976291e-03  2.1282254163e-03  4.5955374576e-02  1.1040824705e-02  4.9440788100e-03  1.9831417484e-03  1.2362269874e-03  6.8669016018e-04  -6.4884445320e-05  2.8457857739e-04  7.6064756034e-05  2.7126453108e-04  
2.5982595611e+00  1.2334228046e-03  7.9833698132e-05  -6.9285396499e-03  2.9611931605e-03  4.9069184319e-02  1.1983073570e-02  7.2280285465e-03  3.3882036779e-03  1.0822160220e-03  8.1001883846e-04  7.3190030485e-04  3.1993244587e-04  6.7000579369e-04  3.4512228802e-04  
2.6977635342e+00  9.5164782825e-04  6.3974683871e-05  -3.1759674455e-03  2.4453660144e-03  5.1173010603e-02  1.5263817885e-02  6.7567664149e-03  3.0508803383e-03  1.5789294837e-03  8.4334649999e-04  -1.0913860710e-04  3.4375044610e-04  1.1563925287e-04  3.1709283493e-04  
2.7984779979e+00  7.0557990721e-04  5.1318673695e-05  -6.1424993127e-03  2.8449053350e-03  5.2246722595e-02  1.4569494017e-02  3.1323545429e-03  2.6953057551e-03  2.3846935172e-03  1.2894198273e-03  4.2569928767e-04  4.3449724846e-04  5.6193744393e-04  4.2426882987e-04  
2.8980471270e+00  5.4684501994e-04  3.9945938775e-05  -5.2792828801e-03  3.1315518614e-03  4.3084765398e-02  1.1589286675e-02  1.3168043431e-02  5.1018841603e-03  1.0920854105e-03  1.0657964894e-03  5.0505694893e-04  6.0561801899e-04  -8.1386044464e-05  4.5027586961e-04  
2.9980245579e+00  3.9182969759e-04  3.1335820170e-05  -6.7594081426e-03  3.4592056036e-03  5.8369265420e-02  1.8344105758e-02  4.9530912402e-03  3.1252167857e-03  2.1691599654e-03  1.3812728390e-03  -2.6847560711e-04  4.4015488074e-04  3.2918220074e-04  4.6645232747e-04  
3.0986885457e+00  3.1053065822e-04  2.6122261224e-05  -7.2681478962e-03  3.5457273108e-03  4.9502168519e-02  1.5047667285e-02  1.3016341488e-03  2.9999728389e-03  2.1515043335e-03  1.0296367410e-03  -1.2203511900e-04  5.3183958575e-04  -1.5613770465e-04  5.1569661000e-04  
3.1967324276e+00  2.3834986935e-04  1.9964929039e-05  -7.6712418295e-03  3.6209357583e-03  6.0182205718e-02  1.5576393839e-02  8.9968153109e-03  4.3612881225e-03  -1.5177164432e-03  1.5182447037e-03  -1.1035231114e-03  1.1178947893e-03  4.2382302998e-04  5.6466621305e-04  
3.2965611380e+00  1.9172050129e-04  1.8184957138e-05  -8.4423740372e-03  4.0947483487e-03  8.0580713195e-02  2.5093122672e-02  -5.1505697049e-03  4.8047082245e-03  2.0917453757e-03  1.6605439541e-03  -1.5616386874e-03  9.8008246030e-04  -1.0316097199e-03  8.8638826658e-04  
3.3976115084e+00  1.3343934386e-04  1.4722680188e-05  -8.3283648770e-03  4.3701630909e-03  5.8794261961e-02  2.3089001160e-02  3.6049701455e-03  5.0558951158e-03  -3.3210754946e-04  2.1730656639e-03  1.0884734016e-03  8.9531643343e-04  -5.5893722251e-05  8.9175835900e-04  
3.4982493528e+00  9.6329963240e-05  1.0114609869e-05  -1.8308405366e-02  9.9529064553e-03  5.3977867115e-02  2.2199808457e-02  8.0564049530e-03  6.8850700862e-03  -2.3921228497e-03  1.7830823673e-03  1.9637420650e-03  1.3316196729e-03  7.0019850680e-04  8.6675868837e-04  
3.5963054303e+00  6.9995349332e-05  8.1337455833e-06  -1.2033350610e-02  7.2892313260e-03  5.1745179107e-02  2.1747519498e-02  6.4509421994e-03  6.4243415897e-03  1.4471062205e-03  1.6680912630e-03  1.0764258780e-03  1.3796477939e-03  -6.2881958542e-04  9.6987555349e-04  
3.6888292686e+00  3.3752976896e-05  6.2002256315e-06  -2.3718320419e-02  1.6559601058e-02  5.9448649236e-02  2.0308635006e-02  5.5128378525e-03  5.3903025425e-03  2.6851162180e-03  3.2585427920e-03  -1.8166554202e-03  1.6363052291e-03  1.2143475325e-03  1.3970030628e-03  
3.8004574662e+00  2.1366244015e-05  3.2222509158e-06  -2.8131748376e-03  8.2359356762e-03  4.5747242743e-02  2.3259292522e-02  -5.8890407174e-03  1.5400132415e-02  4.7067143806e-03  5.5779501871e-03  1.8544973169e-03  2.8447789081e-03  1.3180835800e-03  1.8365115754e-03  
3.8913330562e+00  1.4607089723e-05  2.8039552927e-06  -1.2207790438e-02  9.8596455065e-03  3.4442677351e-02  4.3404633254e-02  2.2553655729e-02  1.8470062892e-02  6.1930123859e-03  5.2401302635e-03  -2.1313387365e-03  2.1636689817e-03  -3.6770026618e-03  1.6553130309e-03  
3.9967695955e+00  9.8197785720e-06  2.2350956883e-06  -4.7583808295e-03  1.0811215899e-02  1.2003485228e-01  6.6807100840e-02  2.2279113366e-03  2.8157883053e-02  -1.0748932434e-03  4.4982396453e-03  -3.4669329057e-03  4.5785889163e-03  -1.2942434900e-05  2.2618514029e-03  
