#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.1067653571e-01  1.3118431662e+01  3.6866213792e-01  5.2649414427e-04  5.1861121578e-04  nan  nan  nan  nan  2.2824621836e-05  4.2838592533e-05  8.7623191129e-05  5.8836160651e-05  2.8954303178e-05  5.9971763321e-05  
2.0204670669e-01  1.3565312891e+01  3.7827487717e-01  1.3979630991e-03  1.3304256684e-03  nan  nan  nan  nan  -2.1045272872e-06  2.6721917066e-05  6.6093741821e-05  4.3002769406e-05  1.4849352316e-05  3.7681905174e-05  
2.9979868836e-01  1.0000396767e+01  2.8173763364e-01  2.2094737858e-03  2.1005458498e-03  nan  nan  nan  nan  7.8116670006e-06  3.1342213688e-05  2.6591803316e-06  2.2335838588e-05  -1.1009560514e-05  3.2811743086e-05  
3.9904997524e-01  6.9835578227e+00  2.0079109220e-01  2.6781596901e-03  2.5468042278e-03  nan  nan  nan  nan  4.2435783212e-05  3.1487552392e-05  -9.4038316616e-06  2.6030896133e-05  8.8355990490e-06  3.6387537762e-05  
4.9868230886e-01  4.8686466964e+00  1.4356795530e-01  2.8485857069e-03  2.7088497146e-03  nan  nan  nan  nan  1.4891153252e-04  4.9195288146e-05  -2.7653951532e-05  3.2503443047e-05  -4.1013435163e-05  6.4779452461e-05  
5.9848073835e-01  3.4274997546e+00  1.0381069262e-01  2.6348418862e-03  2.5082930005e-03  nan  nan  nan  nan  1.2434120166e-04  5.1455066440e-05  2.8374036914e-05  3.7871992907e-05  1.5832322646e-05  4.2100300879e-05  
6.9839295218e-01  2.4315043909e+00  7.5989356909e-02  2.3792150084e-03  2.2633836879e-03  nan  nan  nan  nan  2.5023778053e-04  8.4662864037e-05  3.7725551815e-05  4.0288804627e-05  -1.8884047391e-05  4.6278076987e-05  
7.9830055473e-01  1.7365183813e+00  5.6160196177e-02  2.2269576209e-03  2.1192415793e-03  nan  nan  nan  nan  2.5503330726e-04  9.3592617908e-05  6.1937534923e-05  4.8951876601e-05  -6.2842041854e-05  9.3967137909e-05  
8.9821764456e-01  1.2543465584e+00  4.2073853882e-02  1.5041964255e-03  1.4384244086e-03  nan  nan  nan  nan  3.2782038916e-04  1.1326606173e-04  2.1842332325e-05  4.2786434305e-05  8.8479229486e-05  1.2880138967e-04  
9.9818311583e-01  9.1390209146e-01  3.1694831443e-02  1.2662955302e-03  1.2254211885e-03  nan  nan  nan  nan  4.2791877641e-04  1.3255680267e-04  6.0240906910e-05  5.1493256567e-05  2.2091884766e-05  6.1498687736e-05  
1.0981791002e+00  6.6882322117e-01  2.4094931331e-02  4.8004078356e-04  4.9349969931e-04  nan  nan  nan  nan  5.0305453930e-04  1.5544968031e-04  1.0097981286e-04  7.1642478340e-05  2.4181121161e-05  6.3547000348e-05  
1.1981163164e+00  4.9151843384e-01  1.8419072318e-02  -3.9408997882e-04  4.2853259101e-04  nan  nan  nan  nan  5.1721334346e-04  1.7839052767e-04  9.3827608581e-05  8.2563191360e-05  2.4856090633e-05  7.4381757182e-05  
1.2981889490e+00  3.6342929703e-01  1.4182168781e-02  -8.0312180390e-04  7.9858973147e-04  nan  nan  nan  nan  5.6320547784e-04  1.9532083384e-04  1.3503066598e-04  8.6875192966e-05  7.7615233941e-05  1.2285726950e-04  
1.3981896670e+00  2.6906643889e-01  1.0881485894e-02  -1.8036419282e-03  1.7391163793e-03  nan  nan  nan  nan  5.5023948059e-04  1.8182325206e-04  9.2713780950e-05  8.8769062289e-05  1.0675461742e-04  1.6462226001e-04  
1.4981785692e+00  2.0079191698e-01  8.4145071422e-03  -2.8440708137e-03  2.7192480371e-03  nan  nan  nan  nan  6.2347108778e-04  2.0838025725e-04  2.6857690709e-04  1.7544357546e-04  8.7189060426e-05  1.4749532194e-04  
1.5981158664e+00  1.5063094077e-01  6.5496991552e-03  -3.5336355853e-03  3.3743235069e-03  nan  nan  nan  nan  8.2195853817e-04  2.7309268351e-04  2.6076088577e-04  1.5490849212e-04  7.7023478702e-05  1.5385736157e-04  
1.6979801313e+00  1.1241912860e-01  5.1023779755e-03  -4.4400249856e-03  4.2280263705e-03  nan  nan  nan  nan  8.3403243895e-04  3.1062182026e-04  1.6295518957e-04  1.4915043415e-04  4.4792557383e-05  1.2369962166e-04  
1.7981014002e+00  8.5010874579e-02  4.0033332427e-03  -6.0670513808e-03  5.7736935892e-03  nan  nan  nan  nan  8.9453223692e-04  3.1736410848e-04  4.9428851294e-04  3.5782268022e-04  1.0243540586e-04  1.7249724440e-04  
1.8980480097e+00  6.4181797603e-02  3.1524744183e-03  -6.3410243141e-03  6.0487638775e-03  nan  nan  nan  nan  8.9381964399e-04  3.2551764227e-04  2.3397223539e-04  1.7285102114e-04  3.7257077872e-04  5.1350775365e-04  
1.9981151562e+00  4.8603037964e-02  2.4787091456e-03  -8.7818805498e-03  8.3742302980e-03  nan  nan  nan  nan  1.3401605706e-03  4.9574837509e-04  4.4356959523e-04  3.0746419952e-04  2.0602057841e-04  3.1482825679e-04  
2.0978792074e+00  3.6655641262e-02  1.9492880451e-03  -9.9715444489e-03  9.5143506142e-03  nan  nan  nan  nan  1.1669562734e-03  4.0210174567e-04  1.8676895741e-04  2.0169215644e-04  -2.5380013108e-05  1.5980974744e-04  
2.1978992883e+00  2.7551771878e-02  1.5418666267e-03  -1.1264413368e-02  1.0746608074e-02  nan  nan  nan  nan  1.1042373802e-03  3.9430658567e-04  2.9476216834e-04  2.2065718579e-04  -1.7040684237e-04  2.8262756466e-04  
2.2979059730e+00  2.1254161526e-02  1.2203384678e-03  -1.1904484982e-02  1.1363679995e-02  nan  nan  nan  nan  1.2638331368e-03  4.1774815118e-04  2.3299371560e-04  2.0944528797e-04  1.7644074406e-04  3.1519256283e-04  
2.3979453476e+00  1.6200599299e-02  9.7030654315e-04  -1.2202641555e-02  1.1637877340e-02  nan  nan  nan  nan  7.9122988134e-04  3.6451052682e-04  4.6254267209e-04  3.3668554790e-04  4.3724949578e-04  6.1420572587e-04  
2.4983025049e+00  1.2062824215e-02  7.5719908688e-04  -1.3536304411e-02  1.2877195540e-02  nan  nan  nan  nan  1.0675348577e-03  4.4427268336e-04  -3.6063977188e-04  4.5322435606e-04  4.2081113301e-04  6.2163282240e-04  
2.5980224245e+00  9.2952725675e-03  6.0251876744e-04  -1.3814339132e-02  1.3176702893e-02  nan  nan  nan  nan  1.2417917199e-03  5.5600349145e-04  7.2656502406e-04  4.1176937280e-04  3.8883397202e-04  5.6935679732e-04  
2.6979355320e+00  6.9901776808e-03  4.6596722016e-04  -1.6317391222e-02  1.5638241960e-02  nan  nan  nan  nan  1.6000392046e-03  9.3787913439e-04  -3.1346399584e-04  2.9201220332e-04  3.1564560770e-04  5.1268555293e-04  
2.7978394813e+00  5.2991034433e-03  3.6960262578e-04  -1.7954731731e-02  1.7184516665e-02  nan  nan  nan  nan  1.7706867921e-03  6.5230125584e-04  -3.1608370559e-04  5.0023145418e-04  7.5173415889e-04  1.0617519828e-03  
2.8979820720e+00  4.0582321951e-03  2.8945776395e-04  -2.0345558408e-02  1.9473460602e-02  nan  nan  nan  nan  1.4289733523e-03  6.3534300936e-04  3.5989073245e-04  3.7888815720e-04  -1.9469306089e-04  4.6446586342e-04  
2.9973937011e+00  3.0260314895e-03  2.2883710987e-04  -2.0998789084e-02  2.0258280093e-02  nan  nan  nan  nan  1.4810713429e-03  6.3763398734e-04  7.2939443061e-04  6.1361461849e-04  2.5318098490e-04  5.7022751518e-04  
3.0976836447e+00  2.3290801263e-03  1.8539865308e-04  -1.8501518799e-02  1.7740019752e-02  nan  nan  nan  nan  1.4971606280e-03  6.5179756474e-04  -1.9208215184e-04  6.9183143975e-04  7.2596728296e-04  1.0828604056e-03  
3.1976995855e+00  1.6975704675e-03  1.3807525419e-04  -2.1391351147e-02  2.0496041844e-02  nan  nan  nan  nan  2.0270882112e-03  1.0568247952e-03  -4.1093318605e-04  5.7560759085e-04  5.5325011204e-04  8.6624915966e-04  
3.2974194775e+00  1.3503131867e-03  1.1237352941e-04  -2.5142383060e-02  2.4152663351e-02  nan  nan  nan  nan  -7.6024208963e-05  8.0458223676e-04  -4.7703713770e-04  6.3927338789e-04  3.2353807947e-04  7.1053570414e-04  
3.3983467155e+00  9.7051142788e-04  8.3877288269e-05  -2.2265960616e-02  2.1372120419e-02  nan  nan  nan  nan  1.0864833468e-04  1.3860127103e-03  8.4829161981e-05  5.7159146181e-04  5.5535378480e-04  1.0406600740e-03  
3.4975501048e+00  7.2203874797e-04  6.4937922854e-05  -2.7221623688e-02  2.6459115113e-02  nan  nan  nan  nan  3.6908529878e-04  1.2653444714e-03  1.2303181429e-03  8.9490338688e-04  2.5525018232e-04  9.0574707734e-04  
3.5974658093e+00  5.3796270960e-04  5.1439142959e-05  -2.6752511430e-02  2.5551971503e-02  nan  nan  nan  nan  3.2252829308e-03  1.5085861906e-03  1.0890770436e-03  1.3350248427e-03  -7.0273834516e-04  1.2358054494e-03  
3.6842398236e+00  2.5640136910e-04  2.7497396355e-05  -3.9532648825e-02  3.9119888875e-02  nan  nan  nan  nan  4.1672914392e-04  2.0664850012e-03  2.0161330057e-04  1.5144270442e-03  2.8294117013e-04  1.5809850809e-03  
