#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0980798841e-01  2.6817089596e-02  1.0460938291e-03  -1.2415798403e-04  1.4052293934e-03  5.8411395943e-04  5.5259933041e-03  7.6733163869e-04  1.4491051838e-03  -1.3853395437e-03  5.4618826971e-04  -6.4113107671e-04  4.3981800345e-04  7.4663169301e-04  4.0153226358e-04  
2.0422323831e-01  2.9838278525e-02  9.6214714495e-04  -7.7483409506e-04  8.0908154812e-04  -7.2892841394e-03  5.4988677279e-03  1.8415595528e-03  1.4618336258e-03  6.7048841375e-04  4.9832562961e-04  -2.6604249655e-04  2.8450221649e-04  -6.0365350925e-05  2.9335845566e-04  
3.0226147244e-01  2.9496431395e-02  8.8205029977e-04  1.0709278732e-03  5.8400749512e-04  -3.6188818954e-03  3.3617016596e-03  1.5379775913e-03  9.0479687844e-04  8.1061233113e-04  3.7976327719e-04  -1.7176288015e-04  2.4476981644e-04  1.3012023146e-04  2.4227799711e-04  
4.0095427582e-01  2.8731621443e-02  8.2429175438e-04  9.8676301427e-04  5.4672812044e-04  5.2797009891e-03  3.7905235542e-03  -6.8884002269e-04  7.7651288537e-04  3.8783310301e-04  3.4912831125e-04  2.5531945836e-04  2.0378803505e-04  -8.8607684060e-05  1.8744857913e-04  
5.0112071136e-01  2.7138182469e-02  7.7821717364e-04  5.1872943857e-04  5.5771993819e-04  1.1205085260e-04  3.2496925687e-03  5.7071670882e-04  8.4789998420e-04  -2.5593508975e-05  3.2228914753e-04  4.3826181504e-04  2.2907162421e-04  -1.8545206838e-04  1.8608272877e-04  
6.0051841348e-01  2.5582073100e-02  7.3235229706e-04  7.4752388353e-04  5.0024384802e-04  7.2634373383e-03  2.6378359846e-03  7.0500038322e-04  7.7123966355e-04  -3.5578472979e-04  2.7232852260e-04  -3.6678860560e-05  1.9206528416e-04  -1.5559494941e-04  1.6704448325e-04  
7.0019412613e-01  2.3470680464e-02  6.7180977996e-04  1.9487897949e-03  5.6725449646e-04  6.4107608858e-03  2.5812605338e-03  1.1865678743e-03  7.6805442772e-04  1.1638154040e-04  2.5532305353e-04  -1.3357715667e-04  1.7802177612e-04  1.7192390763e-04  1.7637290624e-04  
8.0004026949e-01  2.0678525768e-02  5.9557144699e-04  1.2493028154e-03  4.8856966401e-04  1.0768339249e-02  2.8010327943e-03  -4.2885879277e-04  6.3180622197e-04  8.7765552012e-05  2.6831491663e-04  -4.2911907444e-05  1.6308292988e-04  -3.6223129960e-04  1.7618978328e-04  
8.9956294928e-01  1.8277270697e-02  5.5812545835e-04  2.3067954507e-03  5.7214585507e-04  8.4552624865e-03  3.2213738135e-03  1.2016277624e-03  5.8618574367e-04  -2.4295308115e-04  3.0914294346e-04  2.1173630941e-04  1.7618391111e-04  1.1753102933e-04  1.8737924541e-04  
9.9937496061e-01  1.6064780175e-02  5.1293852263e-04  2.5130277307e-03  7.2264852635e-04  1.2231345389e-02  3.1714104560e-03  1.8630053800e-03  7.2435889690e-04  6.5095497499e-04  2.9056588639e-04  -3.3618707267e-04  1.8442859219e-04  -2.4704297952e-04  2.0562347750e-04  
1.0992132227e+00  1.3807766873e-02  4.5915580027e-04  1.9249555234e-03  5.6393102031e-04  1.2549486715e-02  2.7187091799e-03  1.3948285885e-03  7.1456529446e-04  -4.0348680498e-06  2.9103523630e-04  5.7319015314e-05  1.9123110619e-04  -2.2816157650e-04  1.7140577192e-04  
1.1988314627e+00  1.1739153348e-02  3.9967281054e-04  1.0394569028e-03  4.4434104650e-04  1.3826433678e-02  2.8757164673e-03  6.1019395771e-04  7.7700041863e-04  3.8465827242e-04  3.2579721028e-04  -9.8210817760e-05  2.0178472462e-04  -9.9826429889e-05  1.6378919763e-04  
1.2979280260e+00  9.7319299965e-03  3.4112308497e-04  1.0434065775e-03  5.3980125770e-04  1.2954988131e-02  3.0079582642e-03  1.3602512364e-03  6.8707267753e-04  -1.0317005448e-04  2.9250963411e-04  -2.7928710372e-04  1.8077326362e-04  2.4722683607e-04  1.5795983222e-04  
1.3992920988e+00  7.9258717198e-03  2.9132854931e-04  1.3536472900e-03  7.8100045314e-04  1.9977732324e-02  4.2890017166e-03  1.1952892109e-03  9.8339983289e-04  1.6284998075e-05  2.9687134462e-04  2.8185741266e-04  1.9481153179e-04  6.7810586910e-05  1.9169553625e-04  
1.4982461496e+00  6.6223166115e-03  2.6270608957e-04  1.4581467487e-03  7.7621366042e-04  2.2291746797e-02  4.2413170955e-03  1.7047700549e-03  1.1734188275e-03  -3.7561324181e-04  4.8534305829e-04  4.1909572381e-05  2.4966176834e-04  6.6567691802e-04  2.4564874590e-04  
1.5986920533e+00  5.3181471017e-03  2.1600344102e-04  1.3556539272e-03  6.9976269068e-04  1.8256263081e-02  3.8327363252e-03  2.6858668794e-03  1.4003318682e-03  1.0502537409e-03  5.2395958505e-04  -4.0460382688e-06  2.1432022721e-04  2.1959625073e-04  1.8969621141e-04  
1.6984162500e+00  4.3165996645e-03  1.8637172847e-04  -1.3934826491e-03  7.6073623304e-04  2.6789584069e-02  5.9064864557e-03  2.5447730388e-03  1.4066850835e-03  4.2813866453e-04  4.2897794138e-04  3.3986730629e-04  2.3449960974e-04  1.8783100646e-04  2.2868562783e-04  
1.7984508021e+00  3.3516855290e-03  1.5654683982e-04  5.5492725775e-05  8.0754082461e-04  2.5395810819e-02  4.9816188440e-03  2.2314545141e-03  1.2156454878e-03  -2.8079366853e-05  4.7148791258e-04  3.3738032724e-04  2.7100399948e-04  6.5660261061e-04  2.6884402122e-04  
1.8993882662e+00  2.8413505080e-03  1.3671292600e-04  -8.8571098352e-04  8.6477362369e-04  3.0208736477e-02  6.8840002209e-03  2.7944174447e-03  1.4414419927e-03  1.6991312286e-04  4.7721412684e-04  -1.7465591291e-04  2.8333582743e-04  -1.2680501662e-05  2.5925637710e-04  
1.9985948618e+00  2.2544135438e-03  1.1956105321e-04  -9.6631477580e-04  1.0049226185e-03  2.5347204218e-02  6.7070258531e-03  1.3604793593e-03  1.3995410379e-03  1.5993578877e-03  7.1639793437e-04  -3.1871236507e-04  3.5344936974e-04  2.4041243798e-06  2.6630270624e-04  
2.0990091306e+00  1.7193615661e-03  9.1237392358e-05  -1.2804938139e-03  1.5449137467e-03  3.6456830252e-02  8.0224892945e-03  2.1486715876e-03  1.6023612952e-03  5.2283541109e-04  6.0020254815e-04  3.5860937066e-04  3.7848453677e-04  -3.6928459547e-05  2.9027972541e-04  
2.1992160738e+00  1.4308579288e-03  8.6845953813e-05  -2.4418601153e-03  1.0833493412e-03  3.2534130292e-02  6.9085358655e-03  1.8136880366e-03  1.6739100870e-03  1.3038271178e-03  5.6127272919e-04  -7.0255177479e-04  3.3323107836e-04  -9.4690027862e-05  3.3491198525e-04  
2.2990479400e+00  1.1436141722e-03  7.0923758391e-05  -3.0672555563e-03  1.2509373911e-03  2.4164161982e-02  6.0797519215e-03  6.3081110600e-03  2.2416074143e-03  -5.2658096572e-04  9.4431101997e-04  -1.3061259899e-04  5.1094947021e-04  3.5967142139e-04  3.4946868438e-04  
2.3977110128e+00  8.4492506502e-04  5.5653670327e-05  -1.4464661767e-03  1.3636922535e-03  3.2745779671e-02  9.8417921993e-03  7.8189917451e-05  1.9182908337e-03  2.9717413148e-05  8.9648296897e-04  -7.3067674319e-04  4.3562380950e-04  4.7992042249e-04  4.0937187316e-04  
2.4995414260e+00  6.7209753558e-04  4.6955349234e-05  -3.7651995014e-03  1.8789369042e-03  2.4835485998e-02  8.3773768166e-03  4.3656820583e-03  2.5577865690e-03  6.9047350160e-04  1.0309668138e-03  -2.0458646462e-04  4.5526725107e-04  -1.9586799290e-04  4.9523143588e-04  
2.5999711237e+00  5.1839927737e-04  3.8048856323e-05  -2.5861244464e-03  1.4382523108e-03  3.5017095829e-02  1.3416569662e-02  1.7737844699e-03  3.6725829338e-03  2.0155249502e-03  1.5185008678e-03  -3.0151613495e-04  4.6758867998e-04  5.4765101592e-04  4.6074676777e-04  
