#pT	dN/(2pi dy pT dpT)	err(dN/(2pi dy pT dpT))	v1{SP}	v1{SP}_err	v2{SP}	v2{SP}_err	v3{SP}	v3{SP}_err	v4{SP}	v4{SP}_err	v5{SP}	v5{SP}_err	v6{SP}	v6{SP}_err
1.0573608020e-01  1.0992518045e+01  3.1045178980e-01  2.4781143527e-04  7.3188352275e-05  1.7947986271e-04  3.2431519052e-04  -5.6256921144e-06  1.1245984725e-04  4.0936688551e-05  3.1154262764e-05  1.7989307016e-05  2.1173021333e-05  3.5385487568e-06  2.1817473229e-05  
2.0050797555e-01  7.8870621679e+00  2.2093183625e-01  6.1668402921e-04  1.2537781295e-04  3.4750283999e-03  7.1572441616e-04  -6.8706082668e-05  8.2252605577e-05  2.6420435980e-05  2.6632819701e-05  3.0435023264e-05  2.0095491085e-05  3.4180110069e-07  1.7991174541e-05  
2.9905008662e-01  5.0973985786e+00  1.4494810824e-01  9.8949464196e-04  1.8991619163e-04  7.6200029488e-03  1.5162982381e-03  2.9193450595e-04  1.1304115334e-04  -2.0685638665e-05  3.6488123361e-05  3.4977169314e-05  2.0747204395e-05  -2.0670860473e-05  1.9674851976e-05  
3.9847110356e-01  3.2894066521e+00  9.5695867372e-02  1.0674853242e-03  2.0591655438e-04  1.1368387480e-02  2.2243011257e-03  6.0690108554e-04  1.4805188819e-04  4.9855363827e-05  3.1207714515e-05  2.1790133371e-05  2.0049643103e-05  -2.3950358926e-06  1.9830621077e-05  
4.9819302344e-01  2.1493319567e+00  6.4564034677e-02  1.1432152262e-03  2.2072123041e-04  1.4973277906e-02  3.0351763380e-03  8.0732448567e-04  1.8770115934e-04  1.1098222946e-04  4.9906399797e-05  3.1710204731e-06  2.1765799243e-05  -4.7801345795e-07  2.4081420994e-05  
5.9799901657e-01  1.4271267311e+00  4.4226367010e-02  1.1268783474e-03  2.3447616478e-04  1.8520276686e-02  3.7029375352e-03  1.1969391683e-03  2.6877568591e-04  2.7969014227e-05  4.2382717198e-05  2.0287923825e-05  3.6257636198e-05  4.1936758717e-06  2.3688466948e-05  
6.9787686111e-01  9.5877853851e-01  3.0791005744e-02  8.6220456270e-04  1.7953880643e-04  2.2172709099e-02  4.4864818601e-03  1.2708775757e-03  2.7479248580e-04  2.0621064279e-04  6.7316912760e-05  2.5534370886e-05  2.7452330425e-05  -5.2543975625e-05  2.9074049608e-05  
7.9784963461e-01  6.5073708049e-01  2.1720470868e-02  6.7892395169e-04  1.5740557516e-04  2.4914387515e-02  5.0664913608e-03  1.8293684969e-03  4.1627599475e-04  1.5915386501e-04  6.6714198487e-05  5.1910534205e-05  3.0273429733e-05  -3.8477089800e-05  3.2171959282e-05  
8.9778460631e-01  4.4723599489e-01  1.5594882064e-02  4.0974450274e-04  1.4707800922e-04  2.8805528920e-02  5.8645962764e-03  2.3436282068e-03  5.6274286278e-04  2.7166755240e-04  9.7399020314e-05  7.5997270024e-06  4.8430023201e-05  -8.8931719506e-06  3.7174479137e-05  
9.9781858695e-01  3.0965758634e-01  1.1219992677e-02  9.9019969256e-05  1.1864047704e-04  3.0596816789e-02  6.2852097917e-03  2.5610295114e-03  5.6174714844e-04  3.7842532189e-04  1.1227007303e-04  3.7307250569e-05  3.8932697885e-05  -2.0201872091e-05  4.1449581919e-05  
1.0976079788e+00  2.1580894359e-01  8.1626430851e-03  -3.4591302441e-04  1.5060704936e-04  3.4224447055e-02  7.2321690870e-03  2.9821717959e-03  6.9389198800e-04  4.0314943529e-04  1.1522116000e-04  1.5065432285e-05  5.1429033701e-05  1.6035569036e-05  4.3776881453e-05  
1.1976819485e+00  1.5068956891e-01  5.9916952435e-03  -8.9345896917e-04  2.1686926242e-04  3.6314507802e-02  7.6353784456e-03  2.9977986938e-03  6.8544455046e-04  5.0177869441e-04  1.7863126543e-04  1.2721567974e-04  6.1216717189e-05  8.4015785489e-05  4.7216996611e-05  
1.2976728282e+00  1.0636755607e-01  4.3913346404e-03  -9.9980033791e-04  2.8604822571e-04  3.9141257829e-02  8.2485368319e-03  3.6384039099e-03  8.2560433539e-04  4.0424943224e-04  1.3443483585e-04  1.1572337252e-04  6.1445768544e-05  2.9091724922e-05  5.6626601121e-05  
1.3977580029e+00  7.4836225622e-02  3.2265078430e-03  -1.7858218430e-03  4.0783065954e-04  3.9471851351e-02  8.7555861444e-03  3.6067369668e-03  9.1202590153e-04  4.2005534961e-04  1.7555100433e-04  1.8390249858e-04  1.1182794252e-04  1.0810565989e-05  6.7495769893e-05  
1.4978108142e+00  5.3149230073e-02  2.3987340541e-03  -1.9870783476e-03  4.3326592153e-04  4.2627755796e-02  9.4250304180e-03  4.4313214662e-03  1.1306066634e-03  7.3698975771e-04  2.3917285678e-04  1.3960939445e-04  8.3317990913e-05  1.4671647390e-04  8.1053892077e-05  
1.5977643857e+00  3.8102467425e-02  1.7989510463e-03  -2.5403906863e-03  5.5096780629e-04  4.6531607571e-02  1.0633491113e-02  4.3114016350e-03  1.0518169247e-03  6.5437580623e-04  2.8418226102e-04  8.6494747310e-05  9.4723627378e-05  -1.3102375793e-04  9.3529354529e-05  
1.6976059272e+00  2.7439517068e-02  1.3494660158e-03  -2.9770636400e-03  6.0484354860e-04  4.5867734402e-02  1.0777910360e-02  3.6107930013e-03  1.1377784185e-03  7.1653818683e-04  2.6113216316e-04  7.1817191551e-05  1.8038928702e-04  -6.7092347973e-05  9.6344134090e-05  
1.7979413994e+00  1.9685382579e-02  9.9332199658e-04  -4.0368250429e-03  8.3585111548e-04  4.3004638771e-02  9.9563017972e-03  4.0561640929e-03  1.2902363930e-03  2.9928996620e-04  3.0326562189e-04  2.9333134886e-04  1.8344471031e-04  1.0537454711e-04  1.0972726974e-04  
1.8979193007e+00  1.4363464996e-02  7.6741960385e-04  -3.4269865808e-03  7.6865327232e-04  4.8072978940e-02  1.0793456486e-02  4.8148580374e-03  1.3370370010e-03  3.9759486428e-04  2.3502250905e-04  1.6905199996e-04  1.8851042539e-04  1.0652998073e-04  1.3088552895e-04  
1.9980487637e+00  1.0309826367e-02  5.6892401804e-04  -4.4925603769e-03  9.5468990856e-04  5.1867045494e-02  1.2131029503e-02  3.9271708373e-03  1.3149060985e-03  1.2917826432e-03  4.7795749790e-04  8.4569836688e-05  1.5001026385e-04  9.4881199069e-05  1.6403535057e-04  
2.0975248979e+00  7.4967743153e-03  4.3638470539e-04  -5.6895247933e-03  1.1992761178e-03  4.7844235653e-02  1.0707443157e-02  5.2612172132e-03  1.4756014568e-03  1.0996695329e-03  4.4783112215e-04  1.6709048233e-04  2.2694645792e-04  -1.7197801320e-04  1.5890397766e-04  
2.1974991073e+00  5.4128197756e-03  3.3359164760e-04  -6.9052124973e-03  1.6221543044e-03  5.7737175823e-02  1.3983305609e-02  4.3661082115e-03  1.4437128004e-03  1.2425015162e-03  5.5180747423e-04  -1.0731627459e-04  3.2264577597e-04  -6.2480295341e-05  1.6843678769e-04  
2.2977812111e+00  4.0363132890e-03  2.5110443775e-04  -7.1188612251e-03  1.8575049902e-03  5.2755777434e-02  1.2719783206e-02  6.2772221482e-03  1.8239477629e-03  1.3560184455e-03  5.2553800433e-04  4.4270258988e-04  2.0954376306e-04  -8.3618979267e-05  2.0907812692e-04  
2.3977765276e+00  3.0015973852e-03  1.9517819270e-04  -6.4371482562e-03  1.4443926702e-03  5.7097538683e-02  1.4361117176e-02  6.5636275742e-03  2.6680009728e-03  6.5195773005e-04  5.3737399897e-04  3.3008747402e-04  2.4736036532e-04  -2.5508197377e-04  2.4774051478e-04  
2.4968127570e+00  2.1751839751e-03  1.4524797902e-04  -7.8025856712e-03  1.8054746522e-03  5.9002096992e-02  1.8019385446e-02  3.5571726805e-03  1.3443443785e-03  6.6294159432e-04  4.1881294753e-04  -8.4813138663e-04  7.8430641459e-04  3.2959113748e-04  2.7756253751e-04  
2.5967679791e+00  1.5937387920e-03  1.1196591654e-04  -6.9747707503e-03  1.8190937999e-03  6.9152765406e-02  1.6900911954e-02  5.0930216125e-03  2.1481786787e-03  1.0806665242e-04  6.6743136779e-04  7.8164962891e-04  3.2654808815e-04  9.6576046777e-05  2.7814284382e-04  
2.6982209342e+00  1.1345611362e-03  8.4655026235e-05  -6.7379289097e-03  2.0619915674e-03  5.5462409554e-02  1.4430388452e-02  6.9196293528e-03  2.4414226822e-03  2.3587556485e-03  1.4120479687e-03  -1.2211109222e-04  3.6054112703e-04  -3.4668823078e-04  4.0788883283e-04  
2.7972196790e+00  8.3411032389e-04  6.5054416720e-05  -8.0520421955e-03  2.0663917244e-03  5.4643791228e-02  1.5427741990e-02  1.2386746366e-02  3.7002204894e-03  2.1500047963e-03  6.7668848610e-04  8.1527194873e-05  5.1917131909e-04  3.2476306673e-04  3.8881858396e-04  
2.8964416318e+00  6.5181182709e-04  5.2890879857e-05  -9.4547424208e-03  2.3857448573e-03  6.2046297046e-02  2.1228793769e-02  8.2162636584e-03  3.4842476911e-03  1.1586069403e-03  1.0346711248e-03  -1.5248597336e-06  6.4306943878e-04  3.8523952928e-04  4.1649383925e-04  
