# type  value  stat. err
v4_L  2.5921265065e-02  1.2002201595e-03
v4(Psi2)  1.1861566465e-03  2.4980280255e-03
rho_422  4.5712147872e-02  9.6292052438e-02
chi_422  1.0668134244e+01  2.2432502182e+01
v5_L  1.0015286086e-02  8.4203051731e-04
v5(Psi23)  -1.3066821638e-04  1.1535125041e-03
rho_523  -1.3045767783e-02  1.1517061064e-01
chi_523  -2.1687488972e-01  1.9144717328e+00
v6_L  2.6487286252e-05  2.7865044922e-06
v6(Psi2)  -1.9601896529e-04  5.4257108712e-04
v6(Psi3)  -1.5646002148e-05  5.5994928521e-04
rho_6222  -3.8059369221e-02  1.0536536064e-01
rho_633  -3.0378538714e-03  1.0872080350e-01
chi_6222  -1.1169460447e+02  3.0848232874e+02
chi_633  -2.0383188310e-03  7.2948463983e-02
