# type  value  stat. err
v4_L  2.0168023203e-02  9.2768459531e-04
v4(Psi2)  1.4416615334e-03  2.1103035600e-03
rho_422  7.1300608243e-02  1.0441944739e-01
chi_422  7.1857931476e+00  1.0490838554e+01
v5_L  7.6698461022e-03  6.1364903357e-04
v5(Psi23)  -6.2207843497e-04  9.1412412273e-04
rho_523  -8.0841563424e-02  1.1896518697e-01
chi_523  -9.3070440662e-01  1.3661422693e+00
v6_L  1.6987416477e-05  1.7396593342e-06
v6(Psi2)  -2.2423702136e-04  4.5601936021e-04
v6(Psi3)  -7.1634879816e-05  4.4419478061e-04
rho_6222  -5.4317904870e-02  1.1049780133e-01
rho_633  -1.7352427193e-02  1.0760281517e-01
chi_6222  -5.4465419334e+01  1.1038579641e+02
chi_633  -1.3979497968e-02  8.6675874491e-02
