# type  value  stat. err
v4_L  1.6043592192e-02  7.0904971982e-04
v4(Psi2)  -5.2183542085e-04  1.3507032357e-03
rho_422  -3.2508904262e-02  8.4157269993e-02
chi_422  -3.3400979760e+00  8.6335072897e+00
v5_L  5.5360892960e-03  3.7583074028e-04
v5(Psi23)  1.3796272324e-03  6.9320449404e-04
rho_523  2.4181053320e-01  1.2227251397e-01
chi_523  2.7745474084e+00  1.3821823176e+00
v6_L  1.6723243518e-05  1.4744160690e-06
v6(Psi2)  -2.7862375592e-04  2.9666528507e-04
v6(Psi3)  -2.1041824076e-04  4.2663908899e-04
rho_6222  -6.7904619699e-02  7.2361025904e-02
rho_633  -5.1281953934e-02  1.0400166127e-01
chi_6222  -8.9513013186e+01  9.3433513578e+01
chi_633  -6.5007061632e-02  1.3170793645e-01
