# R_pPb(p_T) for neutral pion production in p+Pb collisions 
# at 5.02 TeV in -0.335 < y_CM < 1.265 (|y_LAB|<0.8).
# Calculations in NLO pQCD with CT14+EPPS16+DSS14. From I. Helenius
#  pT   central    EPPS16+   EPPS16-
 1.3   0.75949   1.08753   0.37512
 1.5   0.79663   1.07812   0.46573
 1.7   0.81984   1.07276   0.52604
 2.0   0.84635   1.06492   0.58819
 2.5   0.87327   1.06216   0.65779
 3.0   0.89139   1.05704   0.70310
 4.0   0.91577   1.05500   0.76347
 5.0   0.93173   1.04625   0.80443
 7.5   0.95742   1.03871   0.86758
10.0   0.97352   1.03376   0.90763
12.5   0.98544   1.03079   0.93642
15.0   0.99455   1.02874   0.95752
20.0   1.00790   1.03027   0.98227
25.0   1.01650   1.03977   0.99436
30.0   1.02364   1.04963   0.99664
40.0   1.03226   1.06774   0.99681
50.0   1.03690   1.07903   0.99461
