# E d^3sigma/d^3p [pb] for neutral pion production in p+Pb collisions 
# at 5.02 TeV in -0.335 < y_CM < 1.265 (|y_LAB|<0.8).
# Calculations in NLO pQCD with CT14+EPPS16+DSS14, based on Nucl.Phys.B883 
# (2014) 615-628 but with updated (n)PDFs and FFs. From I. Helenius
# pT   central      EPPS16+   EPPS16-
1.3 1.10452e+09 1.5816e+09 5.4553e+08
1.5 7.01105e+08 9.4884e+08 4.09885e+08
1.7 4.27358e+08 5.592e+08 2.7421e+08
2 2.0662e+08 2.5998e+08 1.43596e+08
2.5 6.92736e+07 8.42581e+07 5.21804e+07
3 2.6888e+07 3.18847e+07 2.12084e+07
4 5.63302e+06 6.48938e+06 4.69621e+06
5 1.61013e+06 1.80803e+06 1.39013e+06
7.5 157123 170463 142379
10 28757.8 30537.3 26811.5
12.5 7558.24 7906.07 7182.22
15 2498.52 2584.4 2405.48
20 424.639 434.061 413.841
25 105.065 107.471 102.777
30 33.1873 34.0302 32.312
40 5.24627 5.42657 5.06609
50 1.22758 1.27746 1.17752
