p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9	2.66502	2.54065	2.41098	6.57383	11.9827
0.7	9	0.677459	0.951921	1.22538	6.13297	11.0218
0.9	9	0.658393	0.582032	1.30159	1.08736	9.20047
1.1	9	0.615475	0.729064	0.482862	2.44527	9.38738
1.3	9	0.738931	0.917144	1.56244	0.669158	9.23451
1.5	9	1.01783	1.09989	1.41026	1.45742	9.34658
1.7	9	1.85636	2.34099	1.42288	2.13583	9.82408
1.9	9	1.47197	1.39274	0.903195	1.54699	9.39762
2.1	9	3.92252	1.77046	1.30123	2.32616	10.3259
2.3	9	3.7977	3.29785	3.09036	2.17265	10.9804
2.5	9	1.73516	3.4133	3.29158	1.65748	10.4519
2.8	9	2.29062	1.11001	2.0912	0.955029	9.63142
3.25	9	2.31933	1.34092	1.21693	1.00509	9.522
3.75	9	4.34561	1.24979	1.10912	0.858302	10.1692
4.5	9	3.11525	1.04383	1.31643	0.436754	9.68081
5.5	9	2.63074	1.8806	6.23832	1.49012	11.515
7	9	5.91796	2.11544	5.92367	1.29121	12.5401
9	9	109.22	51.9604	90.2036	18.4392	152.271
