p_{T}	 Material 	 Yield Extraction 	 PID 	 photon reco 	 track recon 	 summed
0.5	9.72	4.0873	3.31281	9.66847	9.11678	17.2845
0.7	9.72	5.46737	2.44485	3.25888	1.79687	12.0082
0.9	9.72	7.21432	2.62785	0.973997	1.5011	12.5153
1.1	9.72	3.00537	0.808228	1.16245	0.924925	10.3136
1.3	9.72	3.61729	1.04659	1.46499	1.49139	10.6315
1.5	9.72	3.15584	2.56218	1.24252	1.00956	10.6567
1.7	9.72	2.7485	2.96278	0.929693	0.539807	10.5814
1.9	9.72	1.50432	3.83804	0.851447	0.846506	10.6261
2.1	9.72	0.684236	4.88066	1.05827	0.827915	10.9806
2.3	9.72	1.71624	5.69968	0.960749	0.589689	11.4534
2.5	9.72	1.76698	7.59229	1.37753	0.843699	12.5639
2.8	9.72	1.39293	5.6017	0.974172	0.862766	11.3794
3.25	9.72	2.07162	5.91273	0.995198	0.935273	11.6445
3.75	9.72	0.870792	7.57494	1.71748	1.24648	12.5347
4.5	9.72	1.24151	7.08909	0.72773	1.22794	12.1784
5.5	9.72	1.25873	8.29242	1.35569	0.484587	12.919
7	9.72	5.40556	7.76257	4.75164	2.91019	14.663
9	9.72	3.01666	12.6651	4.58358	8.57414	18.9343
11	9.72	15.8254	133.067	18.1404	12.9441	136.192
