Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
4.5	0.91684	1.96125	1.14296	1.5	2.2475	2.16	0.9575	4.24	0.889679	0.95	5.15849	7.25234	10.8515
5.5	0.415439	5.39875	1.13202	1.5	2.3575	2.35	1.0475	4.24	0.705094	0.95	5.15849	3.78579	10.2639
6.5	1.20986	5.56875	1.13032	1.5	2.4875	2.58	1.1575	4.24	0.607944	0.95	5.15849	2.60717	10.1412
7.5	3.66759	5.76875	1.13005	1.5	2.6375	2.85	1.2875	4.24	0.556813	0.95	5.15849	2.20644	10.8472
8.5	7.7686	5.99875	1.13001	1.5	2.8075	3.16	1.4375	4.24	0.529901	0.95	5.15849	2.07019	13.0328
9.5	6.69598	6.25875	1.13	1.5	2.9975	3.51	1.6075	4.24	0.515738	0.95	5.15849	2.02386	12.6995
10.5	2.59396	6.54875	1.13	1.5	3.2075	3.9	1.7975	4.24	0.508283	0.95	5.15849	2.00811	11.474
11.5	0.935762	6.86875	1.13	1.5	3.4375	4.33	2.0075	4.24	0.504359	0.95	5.15849	2.00276	11.659
13	2.18312	7.405	1.13	1.5	3.82	5.05	2.36	4.24	0.501665	0.95	5.15849	2.00055	12.5911
15	6.88579	8.225	1.13	1.5	4.4	6.15	2.9	4.24	0.500461	0.95	5.15849	2.00006	15.2946
18	22.6463	9.68	1.13	1.5	5.42	8.1	3.86	4.24	0.500067	0.95	5.15849	2	27.7436
