Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
1.5	5.06864	0.5	4.52698	1.5	2.0375	1.83	0.8075	4.24	3.17281	0.95	0	2	9.47543
1.7	4.42243	0.5	3.47346	1.5	2.0459	1.8408	0.8119	4.24	2.85081	0.95	0	2	8.56525
1.9	0.990223	0.5	2.74667	1.5	2.0551	1.8532	0.8171	4.24	2.5676	0.95	0	2	6.98733
2.1	0.998179	0.5	2.24528	1.5	2.0651	1.8672	0.8231	4.24	2.31851	0.95	0	2	6.72472
2.3	3.26637	0.5	1.89939	1.5	2.0759	1.8828	0.8299	4.24	2.09943	0.95	0	2	7.25311
2.5	0.706106	0.5	1.66078	1.5	2.0875	1.9	0.8375	4.24	1.90674	0.95	0	2	6.39856
2.8	0.671663	0.5	1.43413	1.5	2.1064	1.9288	0.8504	4.24	1.66035	0.95	0	2	6.2869
3.25	0.793195	1.73156	1.26191	1.5	2.13813	1.97875	0.873125	4.24	1.36926	0.95	0	2	6.44005
3.75	1.17418	1.81406	1.18214	1.5	2.17813	2.04375	0.903125	4.24	1.13063	0.95	0	2	6.49709
4.5	2.91818	1.96125	1.14296	1.5	2.2475	2.16	0.9575	4.24	0.889679	0.95	0	2	7.08688
5.5	0.389571	5.39875	1.13202	1.5	2.3575	2.35	1.0475	4.24	0.705094	0.95	0	2	8.2695
7	1.35411	5.665	1.13013	1.5	2.56	2.71	1.22	4.24	0.578311	0.95	0	2	8.72088
9	2.74192	6.125	1.13	1.5	2.9	3.33	1.52	4.24	0.521693	0.95	0	2	9.67069
11	9.25328	6.705	1.13	1.5	3.32	4.11	1.9	4.24	0.506009	0.95	0	2	13.7393
