Pt bin	YieldExtraction	OpeningAngle	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatchingCalo	ClusterM02	ClusterMaterialTRD	ClusterEnergyScale	CellTiming	Trigger	Efficiency	
1.5	1.53542	0.5	4.52698	1.5	5.43448	1.83	0.8075	4.24	3.17281	0.95	0	2	9.58292
1.7	1.12353	0.5	3.47346	1.5	4.38936	1.8408	0.8119	4.24	2.85081	0.95	0	2	8.37547
1.9	0.543072	0.5	2.74667	1.5	3.67177	1.8532	0.8171	4.24	2.5676	0.95	0	2	7.57599
2.1	0.837618	0.5	2.24528	1.5	3.18038	1.8672	0.8231	4.24	2.31851	0.95	0	2	7.12582
2.3	1.53418	0.5	1.89939	1.5	2.84529	1.8828	0.8299	4.24	2.09943	0.95	0	2	6.93387
2.5	2.04607	0.5	1.66078	1.5	2.61828	1.9	0.8375	4.24	1.90674	0.95	0	2	6.86492
2.8	1.4654	0.5	1.43413	1.5	2.41053	1.9288	0.8504	4.24	1.66035	0.95	0	2	6.52649
3.25	0.375047	1.73156	1.26191	1.5	2.27004	1.97875	0.873125	4.24	1.36926	0.95	0	2	6.44726
3.75	1.43819	1.81406	1.18214	1.5	2.23027	2.04375	0.903125	4.24	1.13063	0.95	0	2	6.56747
4.5	1.69698	1.96125	1.14296	1.5	2.26046	2.16	0.9575	4.24	0.889679	0.95	0	2	6.68179
5.5	0.983897	5.39875	1.13202	1.5	2.35952	2.35	1.0475	4.24	0.705094	0.95	0	2	8.31928
7	1.23848	5.665	1.13013	1.5	2.56013	2.71	1.22	4.24	0.578311	0.95	0	2	8.70371
9	3.67471	6.125	1.13	1.5	2.9	3.33	1.52	4.24	0.521693	0.95	0	2	9.97535
11	2.67961	6.705	1.13	1.5	3.32	4.11	1.9	4.24	0.506009	0.95	0	2	10.5036
