Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
2.8	5.27819	1.5	0.78	0.8	1.0432	1.0608	1.0368	0	1.8	1.13	1.5	2.1064	1.30528	1.2896	0.95	4.24	5.15849	34.8729	36.2492
3.25	3.36864	1.5	0.8835	0.8	1.04725	1.10569	1.13625	0	1.8	1.13	1.5	2.13813	1.44128	1.32594	0.95	4.24	5.15849	22.2304	24.0137
3.75	1.06999	1.5	1.0175	0.8	1.06125	1.17219	1.25625	0	1.8	1.13	1.5	2.17813	1.59453	1.37344	0.95	4.24	5.15849	13.7962	16.2508
4.5	1.42625	1.5	1.256	0.8	1.101	1.30475	1.455	0	1.8	1.13	1.5	2.2475	1.82862	1.45875	0.95	4.24	5.15849	7.25234	11.4055
5.5	2.10317	1.5	1.644	0.8	1.189	1.54275	1.755	0	1.8	1.13	1.5	2.3575	2.14863	1.59875	0.95	4.24	5.15849	3.78579	9.96917
6.5	0.428781	1.5	2.112	0.8	1.317	1.85075	2.095	0	1.8	1.13	1.5	2.4875	2.47763	1.76875	0.95	4.24	5.15849	2.60717	9.73484
7.5	0.937633	1.5	2.66	0.8	1.485	2.22875	2.475	0	1.8	1.13	1.5	2.6375	2.81562	1.96875	0.95	4.24	5.15849	2.20644	10.1589
8.5	4.88955	1.5	3.288	0.8	1.693	2.67675	2.895	0	1.8	1.13	1.5	2.8075	3.16263	2.19875	0.95	4.24	5.15849	2.07019	11.7668
9.5	2.33164	1.5	3.996	0.8	1.941	3.19475	3.355	0	1.8	1.13	1.5	2.9975	3.51863	2.45875	0.95	4.24	5.15849	2.02386	11.6818
11	7.58519	1.5	5.208	0.8	2.388	4.103	4.12	0	1.8	1.13	1.5	3.32	4.0695	2.905	0.95	4.24	5.15849	2.00473	14.9175
14	8.30819	1.5	8.172	0.8	3.552	6.392	5.92	0	1.8	1.13	1.5	4.1	5.232	4	0.95	4.24	5.15849	2.00019	18.6235
