Pt bin	YieldExtraction	dEdxE	dEdxPi	TPCCluster	SinglePt	Chi2	Qt	Alpha	ConvPhi	ClusterMinEnergy	ClusterNCells	ClusterNonLinearity	ClusterTrackMatching	ClusterM02	CellTiming	ClusterMaterialTRD	Trigger	Efficiency	
0.9	4.08409	0.38	0.5216	0.4	1.1154	1.02755	0.7062	0.12931	0.5	1.13	1.5	2.0171	0.751145	1.20315	0.95	4.24	0	2	7.48225
1.1	5.66226	0.38	0.5352	0.4	1.101	1.01915	0.7342	0.5	0.5	1.13	1.5	2.0231	0.807945	1.20715	0.95	4.24	0	2	8.46917
1.3	0.688771	0.38	0.552	0.4	1.0882	1.01355	0.7638	0.5	0.5	1.13	1.5	2.0299	0.865105	1.21235	0.95	4.24	0	2	6.34815
1.5	0.7472	0.38	0.572	0.4	1.077	1.01075	0.795	0.5	0.5	1.13	1.5	2.0375	0.922625	1.21875	0.95	4.24	0	2	6.36972
1.7	1.07162	0.38	0.5952	0.4	1.0674	1.01075	0.8278	0.5	0.5	1.13	1.5	2.0459	0.980505	1.22635	0.95	4.24	0	2	6.43321
1.9	1.5159	0.38	0.6216	0.4	1.0594	1.01355	0.8622	0.5	0.5	1.13	1.5	2.0551	1.03875	1.23515	0.95	4.24	0	2	6.54153
2.1	1.37145	0.38	0.6512	0.4	1.053	1.01915	0.8982	0.5	0.5	1.13	1.5	2.0651	1.09735	1.24515	0.95	4.24	0	2	6.53182
2.3	1.81058	0.38	0.684	0.4	1.0482	1.02755	0.9358	0.5	0.5	1.13	1.5	2.0759	1.1563	1.25635	0.95	4.24	0	2	6.66239
2.5	0.369705	0.38	0.72	0.4	1.045	1.03875	0.975	0.5	0.5	1.13	1.5	2.0875	1.21562	1.26875	0.95	4.24	0	2	6.45044
2.8	3.63084	0.38	0.78	0.4	1.0432	1.0608	1.0368	0.5	0.5	1.13	1.5	2.1064	1.30528	1.2896	0.95	4.24	0	2	7.43437
3.25	1.48889	0.38	0.8835	0.4	1.04725	1.10569	1.13625	0.5	0.5	1.13	1.5	2.13813	1.44128	1.32594	0.95	4.24	0	2	6.73803
3.75	5.25599	0.38	1.0175	0.4	1.06125	1.17219	1.25625	0.5	0.5	1.13	1.5	2.17813	1.59453	1.37344	0.95	4.24	0	2	8.50286
4.5	1.56255	0.38	1.256	0.4	1.101	1.30475	1.455	0.5	0.5	1.13	1.5	2.2475	1.82862	1.45875	0.95	4.24	0	2	7.06824
5.5	0.956816	0.38	1.644	0.4	1.189	1.54275	1.755	0.5	0.5	1.13	1.5	2.3575	2.14863	1.59875	0.95	4.24	0	2	7.3218
7	2.26257	0.38	2.376	0.4	1.396	2.031	2.28	0.5	0.5	1.13	1.5	2.56	2.6455	1.865	0.95	4.24	0	2	8.33388
9	13.4946	0.38	3.632	0.4	1.812	2.927	3.12	0.5	0.5	1.13	1.5	2.9	3.3395	2.325	0.95	4.24	0	2	16.4995
